Date,"crack:(-3, 2, 1)","crack:(-1, 1, 0)","crack:(-1, 0, 1)","crack:(0, -1, 1)"
2001-05-02,-313524.0,-137829.4,-37865.2,99964.20000000001
2001-05-03,-314646.60000000003,-137811.6,-39023.40000000001,98788.19999999998
2001-05-04,-313175.4,-137742.6,-37690.2,100052.4
2001-05-07,-312316.8,-137534.8,-37247.2,100287.6
2001-05-08,-311391.0,-136999.4,-37392.2,99607.20000000001
2001-05-09,-313440.60000000003,-137541.2,-38358.2,99183.0
2001-05-10,-313424.39999999997,-137759.8,-37904.8,99855.0
2001-05-11,-315009.60000000003,-138470.2,-38069.2,100401.0
2001-05-14,-314796.60000000003,-138344.6,-38107.40000000001,100237.19999999998
2001-05-15,-315833.4,-138404.6,-39024.2,99380.4
2001-05-16,-314616.60000000003,-138213.2,-38190.2,100023.0
2001-05-17,-314506.2,-138154.0,-38198.2,99955.8
2001-05-18,-315225.60000000003,-138423.2,-38379.2,100044.0
2001-05-21,-314274.60000000003,-138337.2,-37600.2,100737.0
2001-05-22,-314064.60000000003,-138379.2,-37306.20000000001,101072.99999999999
2001-05-23,-313933.2,-138194.0,-37545.2,100648.8
2001-05-24,-311154.0,-137683.4,-35787.2,101896.20000000001
2001-05-25,-312013.19999999995,-137535.8,-36941.600000000006,100594.2
2001-05-29,-312790.2,-137866.2,-37057.79999999999,100808.40000000001
2001-05-30,-312796.19999999995,-137705.8,-37384.600000000006,100321.2
2001-05-31,-312638.4,-137433.4,-37771.600000000006,99661.79999999999
2001-06-01,-311595.6,-137195.0,-37205.59999999999,99989.40000000001
2001-06-04,-312187.19999999995,-137474.8,-37237.59999999999,100237.20000000001
2001-06-05,-311773.80000000005,-136992.6,-37788.600000000006,99204.0
2001-06-06,-311545.19999999995,-136938.8,-37667.59999999999,99271.20000000001
2001-06-07,-311572.19999999995,-137073.8,-37424.600000000006,99649.2
2001-06-08,-312064.8,-137026.6,-38011.59999999999,99015.0
2001-06-11,-312611.4,-137452.4,-37706.600000000006,99745.79999999999
2001-06-12,-313325.39999999997,-137621.8,-38081.8,99540.0
2001-06-13,-311734.2,-137567.4,-36599.40000000001,100967.99999999999
2001-06-14,-312679.19999999995,-137785.8,-37107.600000000006,100678.2
2001-06-15,-310479.6,-137544.0,-35391.600000000006,102152.4
2001-06-18,-309863.4,-137134.2,-35594.999999999985,101539.20000000001
2001-06-19,-310430.39999999997,-136711.4,-37007.59999999999,99703.80000000002
2001-06-20,-308600.4,-136591.4,-35417.600000000006,101173.79999999999
2001-06-21,-310803.6,-136959.0,-36885.600000000006,100073.4
2001-06-22,-310849.19999999995,-137035.8,-36777.59999999999,100258.20000000001
2001-06-25,-312352.80000000005,-137262.6,-37827.600000000006,99435.0
2001-06-26,-311979.6,-137219.4,-37540.8,99678.6
2001-06-27,-311183.4,-136987.6,-37208.2,99779.4
2001-06-28,-311545.8,-136841.0,-37863.8,98977.2
2001-06-29,-313086.0,-137458.0,-38170.0,99288.0
2001-07-02,-311527.2,-137126.0,-37275.2,99850.8
2001-07-03,-313384.2,-137416.0,-38552.2,98863.8
2001-07-05,-314628.0,-137952.4,-38723.2,99229.2
2001-07-06,-315774.6,-138218.4,-39337.8,98880.6
2001-07-09,-315082.2,-138115.0,-38852.2,99262.8
2001-07-10,-315311.4,-138225.0,-38861.399999999994,99363.6
2001-07-11,-315129.0,-137958.4,-39212.2,98746.2
2001-07-12,-314031.0,-137354.4,-39322.2,98032.20000000001
2001-07-13,-314148.6,-137598.0,-38952.600000000006,98645.4
2001-07-16,-313176.0,-136929.4,-39317.2,97612.2
2001-07-17,-311689.2,-136704.0,-38281.2,98422.8
2001-07-18,-311877.60000000003,-136740.2,-38397.2,98343.0
2001-07-19,-311772.0,-136741.4,-38289.2,98452.20000000001
2001-07-20,-313807.2,-137179.0,-39449.2,97729.8
2001-07-23,-314137.2,-137619.4,-38898.40000000001,98720.99999999999
2001-07-24,-314850.0,-137683.4,-39483.2,98200.2
2001-07-25,-315432.0,-137877.4,-39677.2,98200.2
2001-07-26,-314291.4,-137666.6,-38958.2,98708.40000000001
2001-07-27,-315224.4,-138032.2,-39160.0,98872.2
2001-07-30,-314440.8,-137864.8,-38711.2,99153.6
2001-07-31,-314403.0,-137891.4,-38620.2,99271.2
2001-08-01,-315364.8,-138088.8,-39187.2,98901.6
2001-08-02,-315929.4,-138130.0,-39669.399999999994,98460.6
2001-08-03,-315327.6,-138174.4,-38978.8,99195.6
2001-08-06,-315977.4,-138311.2,-39355.0,98956.2
2001-08-07,-316006.2,-138465.0,-39076.2,99388.8
2001-08-08,-315402.60000000003,-138321.2,-38760.2,99561.0
2001-08-09,-315673.2,-138257.4,-39158.40000000001,99099.0
2001-08-10,-315853.2,-138428.0,-38997.2,99430.8
2001-08-13,-315356.4,-138420.6,-38515.2,99905.40000000001
2001-08-14,-315855.0,-138417.4,-39020.2,99397.20000000001
2001-08-15,-314509.2,-138211.0,-38087.2,100123.8
2001-08-16,-315041.4,-138420.6,-38200.2,100220.40000000001
2001-08-17,-311674.8,-137558.8,-36557.2,101001.6
2001-08-20,-316594.8,-138582.8,-39429.2,99153.6
2001-08-21,-317592.0,-138821.4,-39949.2,98872.2
2001-08-22,-312195.0,-137323.4,-37548.2,99775.2
2001-08-23,-312693.60000000003,-137369.2,-37955.2,99414.0
2001-08-24,-312987.0,-137433.4,-38120.2,99313.20000000001
2001-08-27,-312032.4,-137426.0,-37180.399999999994,100245.6
2001-08-28,-312822.6,-137548.0,-37726.59999999999,99821.40000000001
2001-08-29,-311408.4,-137369.2,-36670.0,100699.2
2001-08-30,-311424.6,-137343.8,-36737.0,100606.8
2001-08-31,-311787.0,-137116.0,-37555.0,99561.0
2001-09-04,-311770.8,-137400.4,-36970.0,100430.4
2001-09-05,-311704.8,-137126.4,-37452.0,99674.4
2001-09-06,-312448.2,-137529.6,-37389.0,100140.6
2001-09-07,-312034.2,-137307.6,-37419.0,99888.6
2001-09-10,-310720.80000000005,-137193.2,-36334.40000000001,100858.79999999999
2001-09-11,-311338.2,-137333.2,-36671.8,100661.4
2001-09-14,-314834.4,-139323.2,-36188.0,103135.2
2001-09-17,-311241.0,-137533.2,-36174.59999999999,101358.6
2001-09-18,-310594.8,-137078.4,-36438.0,100640.4
2001-09-19,-311594.4,-137018.2,-37558.0,99460.2
2001-09-20,-311540.4,-136741.2,-38058.0,98683.2
2001-09-21,-312183.6,-137057.8,-38068.0,98989.8
2001-09-24,-308241.6,-135617.8,-37006.0,98611.8
2001-09-25,-309573.6,-136257.8,-37058.0,99199.8
2001-09-26,-311741.4,-136542.2,-38657.0,97885.2
2001-09-27,-310393.8,-136318.4,-37757.0,98561.4
2001-09-28,-311800.2,-137029.4,-37741.40000000001,99288.0
2001-10-01,-311220.0,-136354.4,-38511.2,97843.20000000001
2001-10-02,-311110.8,-136431.4,-38248.0,98183.4
2001-10-03,-310589.39999999997,-136107.8,-38373.8,97734.0
2001-10-04,-310887.0,-136460.4,-37966.2,98494.2
2001-10-05,-310490.4,-136489.2,-37512.0,98977.2
2001-10-08,-311245.8,-136532.4,-38181.0,98351.4
2001-10-09,-311138.4,-136495.2,-38148.0,98347.2
2001-10-10,-310881.0,-136436.0,-38009.0,98427.0
2001-10-11,-312483.6,-136821.8,-38840.0,97981.8
2001-10-12,-310740.6,-136863.8,-37013.0,99850.8
2001-10-15,-312265.2,-136901.6,-38462.0,98439.6
2001-10-16,-312365.4,-136960.2,-38445.0,98515.2
2001-10-17,-312505.19999999995,-137152.4,-38200.399999999994,98952.0
2001-10-18,-313203.6,-137278.8,-38646.0,98632.8
2001-10-19,-313645.2,-137237.0,-39171.20000000001,98065.79999999999
2001-10-22,-313372.19999999995,-137295.8,-38780.600000000006,98515.2
2001-10-23,-312927.6,-137347.8,-38232.0,99115.8
2001-10-24,-314132.4,-137395.2,-39342.0,98053.2
2001-10-25,-313105.2,-137566.6,-37972.0,99594.6
2001-10-26,-313426.8,-137484.8,-38457.2,99027.6
2001-10-29,-313584.0,-137576.4,-38431.2,99145.20000000001
2001-10-30,-314125.8,-137871.8,-38382.2,99489.6
2001-10-31,-312862.2,-137480.0,-37902.2,99577.8
2001-11-01,-312772.8,-137420.8,-37931.2,99489.6
2001-11-02,-313092.0,-137223.4,-38645.2,98578.20000000001
2001-11-05,-313044.6,-137273.4,-38497.8,98775.6
2001-11-06,-313488.0,-137194.4,-39099.2,98095.2
2001-11-07,-313557.0,-137200.6,-39155.8,98044.8
2001-11-08,-314113.2,-137239.0,-39635.2,97603.8
2001-11-09,-313201.8,-137129.8,-38942.2,98187.6
2001-11-12,-312999.60000000003,-137290.6,-38418.40000000001,98872.2
2001-11-13,-314521.2,-137508.0,-39505.2,98002.8
2001-11-14,-313515.0,-137316.8,-38881.40000000001,98435.4
2001-11-15,-310908.0,-136761.4,-37385.2,99376.20000000001
2001-11-16,-312753.0,-136816.4,-39120.2,97696.2
2001-11-19,-314503.2,-137103.0,-40297.2,96805.8
2001-11-20,-313593.0,-137117.4,-39358.2,97759.20000000001
2001-11-21,-313266.60000000003,-137028.2,-39210.2,97818.0
2001-11-23,-313266.60000000003,-137028.2,-39210.2,97818.0
2001-11-26,-313708.2,-137056.4,-39595.40000000001,97460.99999999999
2001-11-27,-314935.8,-137119.8,-40696.2,96423.6
2001-11-28,-314332.2,-137145.4,-40041.40000000001,97104.0
2001-11-29,-312868.2,-136747.0,-39374.2,97372.8
2001-11-30,-314883.0,-137075.6,-40731.8,96343.79999999999
2001-12-03,-314779.2,-136894.0,-40991.2,95902.8
2001-12-04,-313219.8,-136848.8,-39522.2,97326.6
2001-12-05,-313575.60000000003,-136907.2,-39761.2,97146.0
2001-12-06,-313367.4,-136847.6,-39672.2,97175.40000000001
2001-12-07,-314842.2,-136705.0,-41432.2,95272.8
2001-12-10,-313945.2,-136665.0,-40615.2,96049.8
2001-12-11,-313537.2,-136534.6,-40468.0,96066.6
2001-12-12,-313768.2,-136550.0,-40668.2,95881.8
2001-12-13,-313443.0,-136444.4,-40554.2,95890.2
2001-12-14,-313866.60000000003,-136521.2,-40824.2,95697.0
2001-12-17,-313370.4,-136645.6,-40079.2,96566.4
2001-12-18,-313584.6,-136747.8,-40089.0,96658.8
2001-12-19,-313527.0,-136814.0,-39899.0,96915.0
2001-12-20,-312496.2,-136651.0,-39194.2,97456.8
2001-12-21,-313978.2,-136991.0,-39996.2,96994.8
2001-12-24,-313978.2,-136991.0,-39996.2,96994.8
2001-12-26,-314967.60000000003,-136818.2,-41331.2,95487.0
2001-12-27,-313353.6,-136696.0,-39961.600000000006,96734.4
2001-12-28,-312173.39999999997,-136592.4,-38988.59999999999,97603.80000000002
2001-12-31,-312349.2,-136442.4,-39464.40000000001,96978.0
2002-01-02,-313671.0,-136453.2,-40764.600000000006,95688.59999999999
2002-01-03,-311906.4,-136199.6,-39507.2,96692.4
2002-01-04,-313812.60000000003,-136399.6,-41013.40000000001,95386.2
2002-01-07,-313388.4,-136398.2,-40592.0,95806.2
2002-01-08,-314101.19999999995,-136592.4,-40916.399999999994,95676.0
2002-01-09,-313222.2,-136375.0,-40472.2,95902.8
2002-01-10,-313477.80000000005,-136222.2,-41033.40000000001,95188.79999999999
2002-01-11,-312054.0,-136059.8,-39934.399999999994,96125.40000000001
2002-01-14,-311956.2,-135946.0,-40064.2,95881.8
2002-01-15,-312414.60000000003,-135968.6,-40477.40000000001,95491.2
2002-01-16,-312114.0,-135672.4,-40769.20000000001,94903.19999999998
2002-01-17,-311902.8,-136198.4,-39506.0,96692.4
2002-01-18,-312685.80000000005,-136266.2,-40153.40000000001,96112.79999999999
2002-01-22,-313154.4,-136338.4,-40477.600000000006,95860.79999999999
2002-01-23,-313643.4,-136262.0,-41119.399999999994,95142.6
2002-01-24,-313605.0,-136247.8,-41109.40000000001,95138.4
2002-01-25,-313038.60000000003,-136029.6,-40979.40000000001,95050.19999999998
2002-01-28,-313466.4,-136245.0,-40976.399999999994,95268.6
2002-01-29,-313581.0,-136266.4,-41048.2,95218.20000000001
2002-01-30,-313353.60000000003,-136266.2,-40821.2,95445.0
