IE00BY7QL619, Industrials
US1729674242, Financials
US1746101054, Financials
US1773761002, Information Technology
US1845021021, nan
US18683K1016, Materials
US1890541097, Consumer Staples
US1897541041, Consumer Discretionary
US1912161007, Consumer Staples
US19122T1097, Consumer Staples
US1924461023, Information Technology
US1941621039, Consumer Staples
US1982801094, Energy
US20030N1019, Consumer Discretionary
US20030N2009, Consumer Discretionary
US2003401070, Financials
US2005191067, nan
US20449H1095, nan
US2053631048, Information Technology
US2056381096, Information Technology
US2058624022, nan
US2058871029, Consumer Staples
US20605P1012, Energy
US20825C1045, Energy
US20854P1093, Energy
US2091151041, Utilities
US21036P1084, Consumer Staples
US2103711006, nan
US2124851062, Information Technology
US2166484020, Health Care
US2168311072, Consumer Discretionary
US2193501051, Information Technology
US22160K1051, Consumer Staples
US2220702037, Consumer Staples
US2223721042, nan
US2228621049, nan
US22822V1017, Real Estate
US2310211063, Industrials
US23317H1023, Real Estate
US23331A1097, Consumer Discretionary
US2333311072, Utilities
US2358111068, nan
US2358511028, Health Care
US2371941053, Consumer Discretionary
US23918K1088, Health Care
US2423702032, Consumer Staples
US2441991054, Industrials
US24702R1014, nan
US2473617023, Industrials
US2479162081, Energy
US24906P1093, Health Care
US25179M1036, Energy
US2518931033, Consumer Discretionary
US25271C1027, Energy
US2538681030, Real Estate
US2540671011, Consumer Discretionary
US2546871060, Consumer Discretionary
US2547091080, Financials
US25470F1049, Consumer Discretionary
US25470F3029, Consumer Discretionary
US25490A3095, Consumer Discretionary
US2566771059, Consumer Discretionary
US2567461080, Consumer Discretionary
US25746U1097, Utilities
US2578672006, Industrials
US2600031080, Industrials
US2605431038, Materials
US2605611050, nan
US26138E1091, Consumer Staples
US2635341090, Materials
US26441C2044, Utilities
US26483E1001, Industrials
US26817R1086, Utilities
US2686481027, Information Technology
US26875P1012, Energy
US26884L1098, Energy
US2692464017, Financials
US2774321002, Materials
US2774611097, Information Technology
US2786421030, Information Technology
US2788651006, Materials
US2810201077, Utilities
US28176E1082, Health Care
US28336L1098, nan
US2855121099, Information Technology
US2856611049, nan
US29078E1055, nan
US2910111044, Industrials
US2928451044, nan
US29364G1031, Utilities
US29414D1000, Health Care
US2944291051, Industrials
US29444U7000, Real Estate
US2947411037, nan
US29476L1070, Real Estate
US2971781057, Real Estate
US30040W1080, Utilities
US30161N1019, Utilities
US30212P3038, Consumer Discretionary
US3021301094, Industrials
US30219G1085, Health Care
US30225T1025, Real Estate
US30231G1022, Energy
US3024451011, Information Technology
US3024913036, Materials
US30249U1016, Energy
US30303M1027, Information Technology
US3070001090, Consumer Discretionary
US3119001044, Industrials
US3134003017, Financials
US3135861090, Financials
US3137472060, Real Estate
US3142111034, Financials
US31428X1063, Industrials
US3156161024, Information Technology
US31620M1062, Information Technology
US3167731005, Financials
US3199631041, Information Technology
US3205171057, Financials
US3364331070, Information Technology
US3377381088, Information Technology
US3379321074, Utilities
US3380322046, nan
US3434121022, Industrials
US34354P1057, Industrials
US3448491049, Consumer Discretionary
US3453708600, Consumer Discretionary
US3458381064, nan
US34959J1088, Industrials
US34964C1062, Industrials
US34988V1061, Consumer Discretionary
US3546131018, Financials
US35671D8570, Materials
US35687M2061, nan
US35906A1088, Telecommunication Services
US36174X1019, Real Estate
US3635761097, Financials
US36467W1099, Consumer Discretionary
US3647601083, Consumer Discretionary
US3676261080, nan
US3695501086, Industrials
US3696041033, Industrials
US3703341046, Consumer Staples
US37045V1008, Consumer Discretionary
US3724601055, Consumer Discretionary
US37247D1063, Financials
US3729171047, nan
US3755581036, Health Care
US37940X1028, Information Technology
US3813171069, nan
US38141G1040, Financials
US3823881061, nan
US3825501014, Consumer Discretionary
US3846371041, Consumer Discretionary
US3848021040, Industrials
US4016981056, nan
US40412C1018, Health Care
US40414L1098, Real Estate
US40434L1052, Information Technology
US4062161017, Energy
US4103451021, Consumer Discretionary
US4128221086, Consumer Discretionary
US4130861093, Consumer Discretionary
US4136191073, nan
US4138751056, Information Technology
US4165151048, Financials
US4180561072, Consumer Discretionary
US4219331026, nan
US4230741039, nan
US4234521015, Energy
US4270561065, nan
US4278661081, Consumer Staples
US42809H1077, Energy
US42824C1099, Information Technology
US4325891095, Consumer Staples
US4328481092, Consumer Discretionary
US4364401012, Health Care
US4370761029, Consumer Discretionary
US4385161066, Industrials
US4404521001, Consumer Staples
US4410601003, Health Care
US44107P1049, Real Estate
US4436831071, Financials
US4448591028, Health Care
US4456581077, Industrials
US4461501045, Financials
US44919P5089, Information Technology
US4499341083, nan
US45073V1089, Industrials
US45168D1046, Health Care
US4523081093, Industrials
US4523271090, Health Care
US45337C1027, Health Care
US4581401001, Information Technology
US45822P1057, Utilities
US45866F1049, Financials
US4592001014, Information Technology
US4595061015, Materials
US4599021023, Consumer Discretionary
US4601461035, Materials
US4606901001, Consumer Discretionary
US4612021034, Information Technology
US46120E6023, Health Care
US46284V1017, Real Estate
US46625H1005, Financials
US4663131039, Information Technology
US4698141078, Industrials
US47102X1054, Financials
US4750701082, nan
US4781601046, Health Care
US4783661071, nan
US48020T1016, nan
US4811651086, Industrials
US48203R1041, Information Technology
US4824801009, Information Technology
US4851703029, Industrials
US4858651098, Consumer Discretionary
US48666K1097, Consumer Discretionary
US4878361082, Consumer Staples
US4923861078, nan
US49271M1009, Consumer Staples
US4932671088, Financials
US49337W1009, nan
US4943681035, Consumer Staples
US49446R1095, Real Estate
US49456B1017, Energy
US4955821081, nan
US4990401030, nan
US5002551043, Consumer Discretionary
US5007541064, Consumer Staples
US5010441013, Consumer Staples
US5017971046, Consumer Discretionary
US5018892084, Consumer Discretionary
US5021611026, nan
US5024131071, Industrials
US50540R4092, Health Care
US5128071082, Information Technology
US5184391044, Consumer Staples
US5246601075, Consumer Discretionary
US5249011058, Financials
US5249081002, nan
US5253271028, Information Technology
US5260571048, Consumer Discretionary
US5272881047, Financials
US52729N3089, Telecommunication Services
US5297711070, Information Technology
US53217V1098, nan
US5324571083, Health Care
US5341871094, Financials
US5356781063, Information Technology
US5398301094, Industrials
US5404241086, Financials
US5441471019, Consumer Staples
US5463471053, Materials
US5486611073, Consumer Discretionary
US5494631071, nan
US55261F1049, Financials
US55262C1009, Financials
US5528481030, Financials
US5543821012, Real Estate
US55616P1049, Consumer Discretionary
US5635711089, Industrials
US5640551017, nan
US5658491064, Energy
US56585A1025, Energy
US5717481023, Financials
US5718371033, nan
US5719032022, Consumer Discretionary
US5732841060, Materials
US5745991068, Industrials
US5762061068, nan
US57636Q1040, Information Technology
US5770811025, Consumer Discretionary
US57772K1016, Information Technology
US5785921074, nan
US5790641063, nan
US5797802064, Consumer Staples
US5801351017, Consumer Discretionary
US58155Q1031, Health Care
US5828391061, Consumer Staples
US58405U1025, nan
US5846991025, nan
US58551A1088, nan
US58933Y1055, Health Care
US5894051094, nan
US5894331017, Consumer Discretionary
US5901881087, nan
US59156R1086, Financials
US5926881054, Health Care
US5949181045, Information Technology
US5950171042, Information Technology
US5951121038, Information Technology
US59522J1034, Real Estate
US6010731098, nan
US6081901042, Consumer Discretionary
US6085541018, nan
US60871R2094, Consumer Staples
US6092071058, Consumer Staples
US61166W1018, Materials
US6117421072, Information Technology
US61174X1090, Consumer Staples
US6153691059, Financials
US6174464486, Financials
US61945C1036, Materials
US6200763075, Information Technology
US6200971058, nan
US6267171022, Energy
US62886E1082, Information Technology
US6293775085, Utilities
US6294911010, nan
US6311031081, Financials
US6354051038, nan
US6370711011, Energy
US6376401039, nan
US63934E1082, Industrials
US63938C1080, Financials
US64110D1046, Information Technology
US64110L1061, Consumer Discretionary
US6501111073, Consumer Discretionary
US6512291062, Consumer Discretionary
US6512901082, Energy
US6516391066, Materials
US65249B1098, Consumer Discretionary
US65249B2088, Consumer Discretionary
US65339F1012, Utilities
US6540861076, nan
US6541061031, Consumer Discretionary
US65473P1057, Utilities
US6550441058, Energy
US6556641008, Consumer Discretionary
US6558441084, Industrials
US6594241050, nan
US6658591044, Financials
US6668071029, Industrials
US6700061053, nan
US6700081010, nan
US6703461052, Materials
US67066G1040, Information Technology
US67103H1077, Consumer Discretionary
US6745991058, Energy
US6762201068, Consumer Discretionary
US6819191064, Consumer Discretionary
US6826801036, Energy
US68389X1054, Information Technology
US6907684038, Materials
US69331C1080, Utilities
US69344F1066, Information Technology
US6934751057, Financials
US6935061076, Materials
US69351T1060, Utilities
US6936561009, Consumer Discretionary
US6937181088, Industrials
US6952571056, nan
US6964293079, Industrials
US6988841036, Information Technology
US7010941042, Industrials
US7033951036, Health Care
US7043261079, Information Technology
US70450Y1038, Information Technology
US7045492037, Energy
US7081601061, Consumer Discretionary
US7110301063, nan
US7127041058, Financials
US7132911022, Utilities
US7134091005, nan
US7134481081, Consumer Staples
