,1 Year Return,Action Code,BARR,Date,Firm Name,Period,Rating,Recommendation,Target Price,Unnamed: 0
2006-02-15 00:00:00,-0.0,R,-2147483648,,FBR Capital Markets,Not Provided,5,outperform,144.37,56.0
2006-02-15 00:00:00,-0.0,M,-2147483648,,Fearnley Securities,6 month,5,buy,142.94,57.0
2006-02-15 00:00:00,-0.0,D,-2147483648,,Wells Fargo Securities,Not Provided,3,market perform,-0.0,58.0
2006-02-15 00:00:00,-0.0,M,-2147483648,,Aperion Group LLC,12 month,5,buy,200.11,59.0
2006-02-15 00:00:00,-0.0,M,-2147483648,,Natixis Securities Americas LLC,12 month,-2147483648,no rating system,145.8,60.0
2006-02-14 00:00:00,-0.0,D,-2147483648,,Stanford Group,12 month,3,hold,108.63,61.0
2006-02-09 00:00:00,-0.0,M,-2147483648,,Barclays,Not Provided,5,overwt/positive,143.65,62.0
2006-02-07 00:00:00,-0.0,M,-2147483648,,Bear Stearns & Co,Not Provided,5,outperform,142.94,63.0
2006-02-01 00:00:00,-0.0,N,-2147483648,,Scotia Howard Weil Inc,Not Provided,5,buy,147.23,64.0
2006-01-26 00:00:00,-0.0,M,-2147483648,,Raymond James,12 month,5,outperform,122.93,65.0
2006-01-19 00:00:00,-0.0,M,-2147483648,,Morgan Stanley,Not Provided,3,Equalwt/Attractive,137.22,66.0
2006-01-04 00:00:00,-0.0,M,-2147483648,,RBC Capital Markets,Not Provided,3,sector perform,138.65,67.0
2005-12-08 00:00:00,-0.0,M,-2147483648,,Soleil Securities,Not Provided,5,buy,128.64,68.0
2005-11-28 00:00:00,-0.0,M,-2147483648,,A.G. Edwards & Sons Inc,Not Provided,5,buy,107.2,69.0
2005-11-08 00:00:00,-0.0,U,-2147483648,,J.P. Morgan,Not Provided,3,neutral,-0.0,70.0
2005-05-06 00:00:00,-0.0,M,-2147483648,,First Global Stockbroking,Not Provided,5,buy,85.76,71.0
2004-12-20 00:00:00,-0.0,U,-2147483648,,Argus Research Corp,Not Provided,3,hold,-0.0,72.0
2004-09-14 00:00:00,-0.0,U,-2147483648,,Goldman Sachs,Not Provided,5,outperform,-0.0,73.0
2003-09-09 00:00:00,-0.0,M,-2147483648,,Weeden & Co,Not Provided,5,buy,47.17,74.0
2006-03-28 00:00:00,-0.0,D,-2147483648,,Goldman Sachs,Not Provided,3,in-line/attractive,-0.0,75.0
2006-03-27 00:00:00,-0.0,M,-2147483648,,"Capital One Securities, Inc.",Not Provided,5,buy,155.8,76.0
2006-03-06 00:00:00,-0.0,M,-2147483648,,Soleil Securities,Not Provided,5,buy,253.0,77.0
2006-02-28 00:00:00,-0.0,M,-2147483648,,UBS,Not Provided,5,buy 2,134.36,78.0
2006-02-28 00:00:00,-0.0,R,-2147483648,,Oppenheimer & Co,12 month,5,buy,150.09,79.0
2006-02-24 00:00:00,-0.0,M,-2147483648,,Johnson Rice & Co,Not Provided,5,overweight,-0.0,80.0
2006-02-15 00:00:00,-0.0,M,-2147483648,,Credit Suisse,12 month,5,outperform,137.22,81.0
2006-02-15 00:00:00,-0.0,R,-2147483648,,Jefferies,12 month,5,buy,131.5,82.0
2006-02-15 00:00:00,-0.0,R,-2147483648,,FBR Capital Markets,Not Provided,5,outperform,144.37,83.0
2006-02-15 00:00:00,-0.0,M,-2147483648,,Fearnley Securities,6 month,5,buy,142.94,84.0
2006-02-15 00:00:00,-0.0,D,-2147483648,,Wells Fargo Securities,Not Provided,3,market perform,-0.0,85.0
2006-02-15 00:00:00,-0.0,M,-2147483648,,Aperion Group LLC,12 month,5,buy,200.11,86.0
2006-02-15 00:00:00,-0.0,M,-2147483648,,Natixis Securities Americas LLC,12 month,-2147483648,no rating system,145.8,87.0
2006-02-14 00:00:00,-0.0,D,-2147483648,,Stanford Group,12 month,3,hold,108.63,88.0
2006-02-09 00:00:00,-0.0,M,-2147483648,,Barclays,Not Provided,5,overwt/positive,143.65,89.0
2006-02-07 00:00:00,-0.0,M,-2147483648,,Bear Stearns & Co,Not Provided,5,outperform,142.94,90.0
2006-02-01 00:00:00,-0.0,N,-2147483648,,Scotia Howard Weil Inc,Not Provided,5,buy,147.23,91.0
2006-01-26 00:00:00,-0.0,M,-2147483648,,Raymond James,12 month,5,outperform,122.93,92.0
2006-01-19 00:00:00,-0.0,M,-2147483648,,Morgan Stanley,Not Provided,3,Equalwt/Attractive,137.22,93.0
2006-01-04 00:00:00,-0.0,M,-2147483648,,RBC Capital Markets,Not Provided,3,sector perform,138.65,94.0
2005-11-28 00:00:00,-0.0,M,-2147483648,,A.G. Edwards & Sons Inc,Not Provided,5,buy,107.2,95.0
2005-11-08 00:00:00,-0.0,U,-2147483648,,J.P. Morgan,Not Provided,3,neutral,-0.0,96.0
2005-05-06 00:00:00,-0.0,M,-2147483648,,First Global Stockbroking,Not Provided,5,buy,85.76,97.0
2004-12-20 00:00:00,-0.0,U,-2147483648,,Argus Research Corp,Not Provided,3,hold,-0.0,98.0
2003-09-09 00:00:00,-0.0,M,-2147483648,,Weeden & Co,Not Provided,5,buy,47.17,99.0
2006-05-01 00:00:00,-0.0,D,-2147483648,,Morgan Stanley,Not Provided,1,Underwt/Attractive,-0.0,100.0
2006-04-20 00:00:00,-0.0,M,-2147483648,,UBS,Not Provided,5,buy 2,150.09,101.0
2006-04-19 00:00:00,-0.0,M,-2147483648,,"Capital One Securities, Inc.",Not Provided,5,buy,160.09,102.0
2006-04-07 00:00:00,-0.0,N,-2147483648,,Redwood Brokerage,Not Provided,5,buy,137.22,103.0
2006-04-07 00:00:00,-0.0,M,-2147483648,,Natixis Securities Americas LLC,12 month,-2147483648,no rating system,145.8,104.0
2006-04-04 00:00:00,-0.0,R,-2147483648,,FBR Capital Markets,Not Provided,5,outperform,147.23,105.0
2006-03-28 00:00:00,-0.0,D,-2147483648,,Goldman Sachs,Not Provided,3,in-line/attractive,-0.0,106.0
2006-03-06 00:00:00,-0.0,M,-2147483648,,Soleil Securities,Not Provided,5,buy,253.0,107.0
2006-02-28 00:00:00,-0.0,R,-2147483648,,Oppenheimer & Co,12 month,5,buy,150.09,108.0
2006-02-24 00:00:00,-0.0,M,-2147483648,,Johnson Rice & Co,Not Provided,5,overweight,-0.0,109.0
2006-02-15 00:00:00,-0.0,M,-2147483648,,Credit Suisse,12 month,5,outperform,137.22,110.0
2006-02-15 00:00:00,-0.0,R,-2147483648,,Jefferies,12 month,5,buy,131.5,111.0
2006-02-15 00:00:00,-0.0,M,-2147483648,,Fearnley Securities,6 month,5,buy,142.94,112.0
2006-02-15 00:00:00,-0.0,D,-2147483648,,Wells Fargo Securities,Not Provided,3,market perform,-0.0,113.0
2006-02-15 00:00:00,-0.0,M,-2147483648,,Aperion Group LLC,12 month,5,buy,200.11,114.0
2006-02-14 00:00:00,-0.0,D,-2147483648,,Stanford Group,12 month,3,hold,108.63,115.0
