,1 Year Return,Action Code,BARR,Date,Firm Name,Period,Rating,Recommendation,Target Price
234,-0.000000,M,-2147483648,2011-08-31,IPOfinancial.com,Not Provided,3,hold,-0.000000
235,-0.000000,M,-2147483648,2011-12-01,Raymond James,Not Provided,3,market perform,-0.000000
236,-0.000000,M,-2147483648,2011-12-01,"Sandler O'Neill & Partners, LP",12 month,3,hold,27.000000
237,-0.000000,M,-2147483648,2011-12-01,Evercore ISI,12 month,3,equalweight,23.000000
238,-0.000000,M,-2147483648,2011-11-30,BMO Capital Markets,Not Provided,3,market perform,25.000000
239,-0.000000,M,-2147483648,2011-11-28,IPOfinancial.com,Not Provided,3,hold,-0.000000
240,-0.000000,M,-2147483648,2011-11-28,Wells Fargo Securities,Not Provided,3,market perform,-0.000000
241,-0.000000,M,-2147483648,2011-11-26,Macquarie,12 month,5,outperform,34.000000
242,-0.000000,M,-2147483648,2011-11-21,"Keefe, Bruyette & Woods",12 month,3,market perform,28.000000
243,-0.000000,M,-2147483648,2011-11-18,Jefferies,12 month,3,hold,27.000000
244,-0.000000,M,-2147483648,2011-11-04,Goldman Sachs,12 month,1,Sell/Neutral,26.000000
245,-0.000000,M,-2147483648,2011-11-04,UBS,12 month,3,neutral,25.000000
246,-0.000000,M,-2147483648,2011-11-04,J.P. Morgan,12 month,3,neutral,29.000000
247,-0.000000,M,-2147483648,2011-11-04,Stifel,Not Provided,3,hold,-0.000000
248,-0.000000,M,-2147483648,2011-11-04,Oppenheimer & Co,12 month,5,outperform,29.000000
249,-0.000000,M,-2147483648,2011-11-04,Barclays,Not Provided,3,equalwt/neutral,28.000000
250,-0.000000,M,-2147483648,2011-11-03,Credit Suisse,Not Provided,5,outperform,31.000000
251,-0.000000,M,-2147483648,2011-12-30,Macquarie,12 month,3,neutral,32.000000
252,-0.000000,M,-2147483648,2011-12-29,BMO Capital Markets,Not Provided,3,market perform,25.000000
253,-0.000000,M,-2147483648,2011-12-23,Jefferies,12 month,3,hold,27.000000
254,-0.000000,M,-2147483648,2011-12-19,Wells Fargo Securities,Not Provided,3,market perform,-0.000000
255,-0.000000,M,-2147483648,2011-12-16,Credit Suisse,Not Provided,5,outperform,31.000000
256,-0.000000,M,-2147483648,2011-12-15,"Keefe, Bruyette & Woods",12 month,3,market perform,27.000000
257,-0.000000,M,-2147483648,2011-12-09,J.P. Morgan,9 month,3,neutral,27.000000
258,-0.000000,M,-2147483648,2011-12-02,Raymond James,Not Provided,3,market perform,-0.000000
259,-0.000000,M,-2147483648,2011-12-02,"Sandler O'Neill & Partners, LP",Not Provided,3,hold,27.000000
260,-0.000000,M,-2147483648,2011-12-02,Evercore ISI,12 month,3,equalweight,23.000000
261,-0.000000,M,-2147483648,2011-12-02,Barclays,Not Provided,3,equalwt/neutral,27.000000
262,-0.000000,M,-2147483648,2011-11-04,Goldman Sachs,12 month,1,Sell/Neutral,26.000000
263,-0.000000,M,-2147483648,2011-11-04,UBS,12 month,3,neutral,25.000000
264,-0.000000,M,-2147483648,2011-11-04,Stifel,Not Provided,3,hold,-0.000000
265,-0.000000,M,-2147483648,2011-11-04,Oppenheimer & Co,12 month,5,outperform,29.000000
266,-0.000000,M,-2147483648,2012-02-01,Wells Fargo Securities,Not Provided,3,market perform,-0.000000
267,-0.000000,M,-2147483648,2012-01-30,BMO Capital Markets,Not Provided,3,market perform,25.000000
268,-0.000000,M,-2147483648,2012-01-18,Raymond James,Not Provided,3,market perform,-0.000000
269,-0.000000,M,-2147483648,2012-01-17,Stifel,Not Provided,3,hold,-0.000000
270,-0.000000,M,-2147483648,2012-01-16,Goldman Sachs,12 month,1,Sell/Neutral,23.000000
271,-0.000000,M,-2147483648,2012-01-13,Jefferies,12 month,3,hold,27.000000
272,-0.000000,M,-2147483648,2012-01-10,Macquarie,12 month,3,neutral,32.000000
273,-0.000000,M,-2147483648,2012-01-09,Evercore ISI,12 month,3,equalweight,23.000000
274,-0.000000,M,-2147483648,2012-01-06,Barclays,Not Provided,3,equalwt/neutral,26.000000
275,-0.000000,M,-2147483648,2012-01-05,UBS,12 month,3,neutral,25.000000
276,-0.000000,M,-2147483648,2012-01-04,"Sandler O'Neill & Partners, LP",12 month,3,hold,27.000000
277,-0.000000,M,-2147483648,2012-01-04,Oppenheimer & Co,12 month,5,outperform,29.000000
278,-0.000000,M,-2147483648,2012-01-03,Credit Suisse,Not Provided,5,outperform,31.000000
279,-0.000000,M,-2147483648,2011-12-15,"Keefe, Bruyette & Woods",12 month,3,market perform,27.000000
280,-0.000000,M,-2147483648,2011-12-09,J.P. Morgan,9 month,3,neutral,27.000000
281,-0.000000,M,-2147483648,2012-03-01,Credit Suisse,Not Provided,3,neutral,28.000000
282,-0.000000,M,-2147483648,2012-03-01,Jefferies,12 month,3,hold,26.000000
283,-0.000000,M,-2147483648,2012-03-01,Raymond James,Not Provided,3,market perform,-0.000000
284,-0.000000,M,-2147483648,2012-03-01,Macquarie,12 month,3,neutral,32.000000
285,-0.000000,M,-2147483648,2012-03-01,Evercore ISI,12 month,3,equalweight,23.000000
286,-0.000000,M,-2147483648,2012-03-01,Wells Fargo Securities,Not Provided,3,market perform,-0.000000
287,-0.000000,M,-2147483648,2012-03-01,Barclays,Not Provided,3,equalwt/neutral,25.000000
288,-0.000000,M,-2147483648,2012-02-29,BMO Capital Markets,Not Provided,3,market perform,25.000000
289,-0.000000,N,-2147483648,2012-02-13,EVA Dimensions,Not Provided,5,buy,-0.000000
290,-0.000000,M,-2147483648,2012-02-10,UBS,12 month,3,neutral,25.000000
291,-0.000000,M,-2147483648,2012-02-10,Stifel,Not Provided,3,hold,-0.000000
292,-0.000000,M,-2147483648,2012-02-09,J.P. Morgan,12 month,3,neutral,28.500000
293,-0.000000,M,-2147483648,2012-02-09,"Keefe, Bruyette & Woods",12 month,1,underperform,22.000000
294,-0.000000,M,-2147483648,2012-02-09,"Sandler O'Neill & Partners, LP",12 month,3,hold,27.000000
295,-0.000000,M,-2147483648,2012-02-09,Oppenheimer & Co,18 month,5,outperform,32.000000
296,-0.000000,M,-2147483648,2012-03-31,Macquarie,12 month,3,neutral,32.000000
297,-0.000000,M,-2147483648,2012-03-30,Jefferies,12 month,3,hold,26.000000
298,-0.000000,D,-2147483648,2012-03-26,Evercore ISI,12 month,1,underweight,25.000000
299,-0.000000,M,-2147483648,2012-03-26,Wells Fargo Securities,Not Provided,3,market perform,-0.000000
300,-0.000000,M,-2147483648,2012-03-20,UBS,12 month,3,neutral,28.000000
301,-0.000000,M,-2147483648,2012-03-20,Stifel,Not Provided,3,hold,-0.000000
302,-0.000000,M,-2147483648,2012-03-16,BMO Capital Markets,Not Provided,3,market perform,25.000000
303,-0.000000,M,-2147483648,2012-03-02,J.P. Morgan,9 month,3,neutral,28.500000
304,-0.000000,M,-2147483648,2012-03-02,Raymond James,Not Provided,3,market perform,-0.000000
305,-0.000000,M,-2147483648,2012-03-02,"Sandler O'Neill & Partners, LP",12 month,3,hold,28.000000
306,-0.000000,M,-2147483648,2012-03-01,Credit Suisse,Not Provided,3,neutral,28.000000
307,-0.000000,M,-2147483648,2012-03-01,Barclays,Not Provided,3,equalwt/neutral,25.000000
308,-0.000000,N,-2147483648,2012-02-13,EVA Dimensions,Not Provided,5,buy,-0.000000
309,-0.000000,M,-2147483648,2012-02-09,"Keefe, Bruyette & Woods",12 month,1,underperform,22.000000
310,-0.000000,M,-2147483648,2012-02-09,Oppenheimer & Co,18 month,5,outperform,32.000000
311,-0.000000,M,-2147483648,2012-05-01,BMO Capital Markets,Not Provided,3,market perform,27.000000
312,-0.000000,M,-2147483648,2012-05-01,J.P. Morgan,6 month,3,neutral,28.000000
313,-0.000000,M,-2147483648,2012-05-01,Jefferies,12 month,3,hold,26.000000
314,-0.000000,M,-2147483648,2012-05-01,"Keefe, Bruyette & Woods",12 month,1,underperform,23.000000
315,-0.000000,M,-2147483648,2012-05-01,Evercore ISI,12 month,1,underweight,25.000000
316,-0.000000,M,-2147483648,2012-05-01,Oppenheimer & Co,12 month,5,outperform,30.000000
317,-0.000000,M,-2147483648,2012-04-23,Wells Fargo Securities,Not Provided,3,market perform,-0.000000
318,-0.000000,M,-2147483648,2012-04-17,Stifel,Not Provided,3,hold,-0.000000
319,-0.000000,M,-2147483648,2012-04-05,Macquarie,12 month,3,neutral,32.000000
320,-0.000000,M,-2147483648,2012-04-03,Credit Suisse,Not Provided,3,neutral,28.000000
321,-0.000000,M,-2147483648,2012-04-03,Raymond James,Not Provided,3,market perform,-0.000000
322,-0.000000,M,-2147483648,2012-04-03,"Sandler O'Neill & Partners, LP",12 month,3,hold,28.000000
323,-0.000000,M,-2147483648,2012-04-03,Barclays,Not Provided,3,equalwt/neutral,25.000000
324,-0.000000,M,-2147483648,2012-03-20,UBS,12 month,3,neutral,28.000000
325,-0.000000,N,-2147483648,2012-02-13,EVA Dimensions,Not Provided,5,buy,-0.000000
326,-0.000000,M,-2147483648,2012-06-01,Credit Suisse,Not Provided,3,neutral,27.000000
327,-0.000000,M,-2147483648,2012-06-01,Macquarie,12 month,3,neutral,32.000000
328,-0.000000,M,-2147483648,2012-05-25,Jefferies,12 month,3,hold,26.000000
329,-0.000000,M,-2147483648,2012-05-21,Wells Fargo Securities,Not Provided,3,market perform,-0.000000
330,-0.000000,D,-2147483648,2012-05-19,EVA Dimensions,Not Provided,3,hold,-0.000000
331,-0.000000,U,-2147483648,2012-05-18,Evercore ISI,12 month,3,equalweight,25.000000
332,-0.000000,M,-2147483648,2012-05-17,Raymond James,Not Provided,3,market perform,-0.000000
333,-0.000000,M,-2147483648,2012-05-02,BMO Capital Markets,Not Provided,3,market perform,27.000000
334,-0.000000,M,-2147483648,2012-05-02,"Sandler O'Neill & Partners, LP",12 month,3,hold,28.000000
335,-0.000000,M,-2147483648,2012-05-02,Stifel,Not Provided,3,hold,-0.000000
336,-0.000000,M,-2147483648,2012-05-02,Barclays,Not Provided,3,equalwt/neutral,24.000000
337,-0.000000,M,-2147483648,2012-05-01,J.P. Morgan,6 month,3,neutral,28.000000
338,-0.000000,M,-2147483648,2012-05-01,"Keefe, Bruyette & Woods",12 month,1,underperform,23.000000
339,-0.000000,M,-2147483648,2012-05-01,Oppenheimer & Co,12 month,5,outperform,30.000000
340,-0.000000,M,-2147483648,2012-03-20,UBS,12 month,3,neutral,28.000000
341,-0.000000,M,-2147483648,2012-07-01,BMO Capital Markets,Not Provided,3,market perform,27.000000
342,-0.000000,M,-2147483648,2012-06-29,Wells Fargo Securities,Not Provided,3,market perform,-0.000000
343,-0.000000,M,-2147483648,2012-06-22,Jefferies,12 month,3,hold,26.000000
344,-0.000000,M,-2147483648,2012-06-11,"Keefe, Bruyette & Woods",12 month,1,underperform,23.000000
345,-0.000000,M,-2147483648,2012-06-04,Raymond James,Not Provided,3,market perform,-0.000000
346,-0.000000,M,-2147483648,2012-06-04,"Sandler O'Neill & Partners, LP",Not Provided,3,hold,28.000000
347,-0.000000,M,-2147483648,2012-06-04,Barclays,Not Provided,3,equalwt/neutral,25.000000
348,-0.000000,M,-2147483648,2012-06-01,Credit Suisse,Not Provided,3,neutral,27.000000
349,-0.000000,M,-2147483648,2012-06-01,Macquarie,12 month,3,neutral,32.000000
350,-0.000000,D,-2147483648,2012-05-19,EVA Dimensions,Not Provided,3,hold,-0.000000
351,-0.000000,U,-2147483648,2012-05-18,Evercore ISI,12 month,3,equalweight,25.000000
