,1 Year Return,Action Code,BARR,Date,Firm Name,Period,Rating,Recommendation,Target Price,Unnamed: 0
2005-11-28 00:00:00,-0.0,D,-2147483648,,Lehman Brothers,Not Provided,3,equalwt/negative,-0.0,0.0
2005-11-23 00:00:00,-0.0,M,-2147483648,,Credit Suisse,Not Provided,5,outperform,3.79,1.0
2005-11-10 00:00:00,-0.0,M,-2147483648,,UBS,Not Provided,5,buy 1,4.89,2.0
2005-11-04 00:00:00,-0.0,M,-2147483648,,J.P. Morgan,Not Provided,5,overweight,-0.0,3.0
2005-11-03 00:00:00,-0.0,M,-2147483648,,Seymour Pierce,Not Provided,3,hold,-0.0,4.0
2005-09-09 00:00:00,-0.0,N,-2147483648,,Morgan Stanley,Not Provided,5,Overwt/In-Line,4.6,5.0
2005-07-11 00:00:00,-0.0,M,-2147483648,,Goldman Sachs,Not Provided,3,in-line,-0.0,6.0
2005-06-10 00:00:00,-0.0,M,-2147483648,,Numis,Not Provided,4,add,3.41,7.0
2005-05-04 00:00:00,-0.0,M,-2147483648,,Goldman Sachs,Not Provided,3,in-line,-0.0,8.0
2002-09-05 00:00:00,-0.0,M,-2147483648,,Societe Generale,Not Provided,5,buy,-0.0,9.0
2006-01-23 00:00:00,-0.0,D,-2147483648,,Goldman Sachs,Not Provided,1,underperf/neutral,-0.0,10.0
2006-01-16 00:00:00,-0.0,D,-2147483648,,Morgan Stanley,Not Provided,3,Equalwt/Cautious,3.89,11.0
2006-01-13 00:00:00,-0.0,M,-2147483648,,Credit Suisse,Not Provided,5,outperform,3.91,12.0
2006-01-13 00:00:00,-0.0,M,-2147483648,,J.P. Morgan,Not Provided,5,overweight,-0.0,13.0
2006-01-12 00:00:00,-0.0,M,-2147483648,,Panmure Gordon & Co Limited,Not Provided,3,hold,4.05,14.0
2005-11-28 00:00:00,-0.0,D,-2147483648,,Lehman Brothers,Not Provided,3,equalwt/negative,-0.0,15.0
2005-11-10 00:00:00,-0.0,M,-2147483648,,UBS,Not Provided,5,buy 1,4.89,16.0
2005-11-03 00:00:00,-0.0,M,-2147483648,,Seymour Pierce,Not Provided,3,hold,-0.0,17.0
2005-06-10 00:00:00,-0.0,M,-2147483648,,Numis,Not Provided,4,add,3.41,18.0
2005-05-04 00:00:00,-0.0,M,-2147483648,,Goldman Sachs,Not Provided,3,in-line,-0.0,19.0
2002-09-05 00:00:00,-0.0,M,-2147483648,,Societe Generale,Not Provided,5,buy,-0.0,20.0
2006-02-03 00:00:00,-0.0,M,-2147483648,,Seymour Pierce,Not Provided,3,hold,-0.0,21.0
2006-01-23 00:00:00,-0.0,D,-2147483648,,Goldman Sachs,Not Provided,1,underperf/neutral,-0.0,22.0
2006-01-16 00:00:00,-0.0,D,-2147483648,,Morgan Stanley,Not Provided,3,Equalwt/Cautious,3.89,23.0
2006-01-13 00:00:00,-0.0,M,-2147483648,,Credit Suisse,Not Provided,5,outperform,3.91,24.0
2006-01-12 00:00:00,-0.0,M,-2147483648,,Panmure Gordon & Co Limited,Not Provided,3,hold,4.05,25.0
