,index,1 Year Return,Action Code,BARR,Date,Firm Name,Period,Rating,Recommendation,Target Price,Unnamed: 0
0,0,-0.0,M,-2147483648,2005-12-08,Credit Suisse,12 month,5,outperform,19.42,0.0
1,1,-0.0,M,-2147483648,2005-05-05,Soleil Securities,Not Provided,5,buy,-0.0,1.0
2,2,-0.0,N,-2147483648,2005-03-01,Bernstein,Not Provided,5,outperform,20.31,2.0
3,3,-0.0,M,-2147483648,2004-11-02,Macquarie,12 month,3,neutral,4.69,3.0
4,4,-0.0,M,-2147483648,2005-12-08,Credit Suisse,12 month,5,outperform,19.42,4.0
5,5,-0.0,M,-2147483648,2005-05-05,Soleil Securities,Not Provided,5,buy,-0.0,5.0
6,6,-0.0,N,-2147483648,2005-03-01,Bernstein,Not Provided,5,outperform,20.31,6.0
7,7,-0.0,M,-2147483648,2004-11-02,Macquarie,12 month,3,neutral,4.69,7.0
8,8,-0.0,M,-2147483648,2006-02-23,Credit Suisse,12 month,5,outperform,19.42,8.0
9,9,-0.0,D,-2147483648,2006-02-09,Soleil Securities,Not Provided,3,hold,-0.0,9.0
10,10,-0.0,N,-2147483648,2005-03-01,Bernstein,Not Provided,5,outperform,20.31,10.0
11,11,-0.0,M,-2147483648,2004-11-02,Macquarie,12 month,3,neutral,4.69,11.0
12,12,-0.0,M,-2147483648,2006-02-23,Credit Suisse,12 month,5,outperform,19.42,12.0
13,13,-0.0,D,-2147483648,2006-02-09,Soleil Securities,Not Provided,3,hold,-0.0,13.0
14,14,-0.0,N,-2147483648,2005-03-01,Bernstein,Not Provided,5,outperform,20.31,14.0
15,15,-0.0,M,-2147483648,2004-11-02,Macquarie,12 month,3,neutral,4.69,15.0
16,16,-0.0,M,-2147483648,2006-04-10,Credit Suisse,12 month,5,outperform,19.42,16.0
17,17,-0.0,D,-2147483648,2006-02-09,Soleil Securities,Not Provided,3,hold,-0.0,17.0
18,18,-0.0,N,-2147483648,2005-03-01,Bernstein,Not Provided,5,outperform,20.31,18.0
19,19,-0.0,M,-2147483648,2004-11-02,Macquarie,12 month,3,neutral,4.69,19.0
20,20,-0.0,M,-2147483648,2006-05-26,Credit Suisse,12 month,5,outperform,19.42,20.0
21,21,-0.0,M,-2147483648,2006-05-11,Soleil Securities,Not Provided,3,hold,-0.0,21.0
22,22,-0.0,N,-2147483648,2005-03-01,Bernstein,Not Provided,5,outperform,20.31,22.0
23,23,-0.0,M,-2147483648,2004-11-02,Macquarie,12 month,3,neutral,4.69,23.0
24,24,-0.0,M,-2147483648,2006-06-29,Credit Suisse,12 month,5,outperform,22.95,24.0
25,25,-0.0,M,-2147483648,2006-05-11,Soleil Securities,Not Provided,3,hold,-0.0,25.0
26,26,-0.0,N,-2147483648,2005-03-01,Bernstein,Not Provided,5,outperform,20.31,26.0
27,27,-0.0,M,-2147483648,2004-11-02,Macquarie,12 month,3,neutral,4.69,27.0
28,28,-0.0,M,-2147483648,2006-07-31,Credit Suisse,12 month,5,outperform,22.95,28.0
29,29,-0.0,N,-2147483648,2006-07-26,"Miller Tabak + Co., LLC",12 month,5,buy,20.31,29.0
30,30,-0.0,M,-2147483648,2006-05-11,Soleil Securities,Not Provided,3,hold,-0.0,30.0
31,31,-0.0,N,-2147483648,2005-03-01,Bernstein,Not Provided,5,outperform,20.31,31.0
32,32,-0.0,M,-2147483648,2004-11-02,Macquarie,12 month,3,neutral,4.69,32.0
33,33,-0.0,M,-2147483648,2006-08-09,Credit Suisse,12 month,5,outperform,22.95,33.0
34,34,-0.0,M,-2147483648,2006-08-09,Soleil Securities,Not Provided,3,hold,-0.0,34.0
35,35,-0.0,N,-2147483648,2006-07-26,"Miller Tabak + Co., LLC",12 month,5,buy,20.31,35.0
36,36,-0.0,N,-2147483648,2005-03-01,Bernstein,Not Provided,5,outperform,20.31,36.0
37,37,-0.0,M,-2147483648,2004-11-02,Macquarie,12 month,3,neutral,4.69,37.0
38,38,-0.0,M,-2147483648,2006-09-13,Credit Suisse,12 month,5,outperform,22.95,38.0
39,39,-0.0,M,-2147483648,2006-08-09,Soleil Securities,Not Provided,3,hold,-0.0,39.0
40,40,-0.0,N,-2147483648,2006-07-26,"Miller Tabak + Co., LLC",12 month,5,buy,20.31,40.0
41,41,-0.0,N,-2147483648,2005-03-01,Bernstein,Not Provided,5,outperform,20.31,41.0
42,42,-0.0,M,-2147483648,2004-11-02,Macquarie,12 month,3,neutral,4.69,42.0
43,43,-0.0,M,-2147483648,2006-10-18,Credit Suisse,12 month,5,outperform,22.95,43.0
44,44,-0.0,D,-2147483648,2006-10-11,Soleil Securities,Not Provided,1,sell,15.89,44.0
45,45,-0.0,N,-2147483648,2006-07-26,"Miller Tabak + Co., LLC",12 month,5,buy,20.31,45.0
46,46,-0.0,N,-2147483648,2005-03-01,Bernstein,Not Provided,5,outperform,20.31,46.0
47,47,-0.0,M,-2147483648,2004-11-02,Macquarie,12 month,3,neutral,4.69,47.0
48,48,-0.0,M,-2147483648,2006-12-01,Credit Suisse,12 month,5,outperform,22.95,48.0
49,49,-0.0,M,-2147483648,2006-11-09,Soleil Securities,Not Provided,1,sell,15.89,49.0
50,50,-0.0,N,-2147483648,2006-07-26,"Miller Tabak + Co., LLC",12 month,5,buy,20.31,50.0
51,51,-0.0,N,-2147483648,2005-03-01,Bernstein,Not Provided,5,outperform,20.31,51.0
52,52,-0.0,M,-2147483648,2004-11-02,Macquarie,12 month,3,neutral,4.69,52.0
53,53,-0.0,M,-2147483648,2006-12-22,Credit Suisse,12 month,5,outperform,22.95,53.0
54,54,-0.0,M,-2147483648,2006-12-22,"Miller Tabak + Co., LLC",12 month,5,buy,22.95,54.0
55,55,-0.0,M,-2147483648,2006-12-19,Soleil Securities,Not Provided,1,sell,15.89,55.0
56,56,-0.0,N,-2147483648,2005-03-01,Bernstein,Not Provided,5,outperform,20.31,56.0
57,57,-0.0,M,-2147483648,2004-11-02,Macquarie,12 month,3,neutral,4.69,57.0
58,58,-0.0,M,-2147483648,2007-01-23,Credit Suisse,12 month,5,outperform,22.95,58.0
59,59,-0.0,M,-2147483648,2007-01-23,Bernstein,12 month,5,outperform,22.95,59.0
60,60,-0.0,M,-2147483648,2006-12-22,"Miller Tabak + Co., LLC",12 month,5,buy,22.95,60.0
61,61,-0.0,M,-2147483648,2006-12-19,Soleil Securities,Not Provided,1,sell,15.89,61.0
62,62,-0.0,M,-2147483648,2004-11-02,Macquarie,12 month,3,neutral,4.69,62.0
63,63,-0.0,M,-2147483648,2007-02-14,Bernstein,12 month,5,outperform,22.95,63.0
64,64,-0.0,M,-2147483648,2007-02-08,Credit Suisse,12 month,5,outperform,25.6,64.0
65,65,-0.0,M,-2147483648,2007-02-07,Soleil Securities,Not Provided,1,sell,15.89,65.0
66,66,-0.0,M,-2147483648,2006-12-22,"Miller Tabak + Co., LLC",12 month,5,buy,22.95,66.0
67,67,-0.0,M,-2147483648,2004-11-02,Macquarie,12 month,3,neutral,4.69,67.0
