,1 Year Return,Action Code,BARR,Date,Firm Name,Period,Rating,Recommendation,Target Price,Unnamed: 0
2007-07-11 00:00:00,-0.0,N,-2147483648,,Lehman Brothers,Not Provided,5,overwt/neutral,45.0,0.0
2007-07-03 00:00:00,-0.0,M,-2147483648,,Goldman Sachs,12 month,3,neutral/neutral,40.0,1.0
2007-07-02 00:00:00,-0.0,N,-2147483648,,J.P. Morgan,Not Provided,3,neutral,-0.0,2.0
2007-06-28 00:00:00,-0.0,N,-2147483648,,UBS,12 month,3,neutral,43.0,3.0
2007-08-24 00:00:00,-0.0,N,-2147483648,,Jefferies,Not Provided,3,hold,35.75,4.0
2007-08-09 00:00:00,-0.0,M,-2147483648,,Goldman Sachs,12 month,3,neutral/neutral,37.0,5.0
2007-08-09 00:00:00,-0.0,M,-2147483648,,UBS,12 month,3,neutral,43.0,6.0
2007-07-11 00:00:00,-0.0,N,-2147483648,,Lehman Brothers,Not Provided,5,overwt/neutral,45.0,7.0
2007-07-02 00:00:00,-0.0,N,-2147483648,,J.P. Morgan,Not Provided,3,neutral,-0.0,8.0
2007-09-28 00:00:00,-0.0,M,-2147483648,,RBC Capital Markets,Not Provided,5,outperform,41.0,9.0
2007-09-26 00:00:00,-0.0,N,-2147483648,,Credit Suisse,Not Provided,5,outperform,39.0,10.0
2007-09-24 00:00:00,-0.0,N,-2147483648,,Independent II Research plc,12 month,5,buy,37.91,11.0
2007-09-18 00:00:00,-0.0,N,-2147483648,,Thomas Weisel Partners,Not Provided,3,market weight,38.0,12.0
2007-09-06 00:00:00,-0.0,M,-2147483648,,UBS,12 month,3,neutral,39.0,13.0
2007-08-24 00:00:00,-0.0,N,-2147483648,,Jefferies,Not Provided,3,hold,35.75,14.0
2007-08-09 00:00:00,-0.0,M,-2147483648,,Goldman Sachs,12 month,3,neutral/neutral,37.0,15.0
2007-07-11 00:00:00,-0.0,N,-2147483648,,Lehman Brothers,Not Provided,5,overwt/neutral,45.0,16.0
2007-07-02 00:00:00,-0.0,N,-2147483648,,J.P. Morgan,Not Provided,3,neutral,-0.0,17.0
2007-10-22 00:00:00,-0.0,M,-2147483648,,RBC Capital Markets,Not Provided,5,outperform,41.0,18.0
2007-10-16 00:00:00,-0.0,N,-2147483648,,Longbow Research,Not Provided,3,neutral,-0.0,19.0
2007-09-26 00:00:00,-0.0,N,-2147483648,,Credit Suisse,Not Provided,5,outperform,39.0,20.0
2007-09-24 00:00:00,-0.0,N,-2147483648,,Independent II Research plc,12 month,5,buy,37.91,21.0
2007-09-18 00:00:00,-0.0,N,-2147483648,,Thomas Weisel Partners,Not Provided,3,market weight,38.0,22.0
2007-09-06 00:00:00,-0.0,M,-2147483648,,UBS,12 month,3,neutral,39.0,23.0
2007-08-24 00:00:00,-0.0,N,-2147483648,,Jefferies,Not Provided,3,hold,35.75,24.0
2007-08-09 00:00:00,-0.0,M,-2147483648,,Goldman Sachs,12 month,3,neutral/neutral,37.0,25.0
2007-07-11 00:00:00,-0.0,N,-2147483648,,Lehman Brothers,Not Provided,5,overwt/neutral,45.0,26.0
2007-07-02 00:00:00,-0.0,N,-2147483648,,J.P. Morgan,Not Provided,3,neutral,-0.0,27.0
