,index,Unnamed: 0,1 Year Return,Action Code,BARR,Date,Firm Name,Period,Rating,Recommendation,Target Price
0,0,0,-0.0,M,-2147483648,2005-12-21,UBS,12 month,3,neutral 2,68.0
1,1,1,-0.0,M,-2147483648,2005-12-20,J.P. Morgan,Not Provided,3,neutral,-0.0
2,2,2,-0.0,D,-2147483648,2005-12-20,Jefferies,Not Provided,3,hold,-0.0
3,3,3,-0.0,M,-2147483648,2005-12-20,Barclays,Not Provided,-2147483648,susp/negative,57.0
4,4,4,-0.0,M,-2147483648,2005-12-16,BMO Capital Markets,Not Provided,3,neutral,62.0
5,5,5,-0.0,M,-2147483648,2005-12-16,EVA Dimensions,Not Provided,5,strong buy,-0.0
6,6,6,-0.0,M,-2147483648,2005-12-14,Credit Suisse,12 month,5,outperform,68.0
7,7,7,-0.0,M,-2147483648,2005-10-31,Wells Fargo Securities,Not Provided,5,outperform,-0.0
8,8,8,-0.0,M,-2147483648,2005-05-13,Great Lakes Review,Not Provided,3,market perform,-0.0
9,9,9,-0.0,M,-2147483648,2005-05-12,KeyBanc Capital Markets,Not Provided,3,hold,-0.0
10,10,10,-0.0,M,-2147483648,2006-02-01,BMO Capital Markets,Not Provided,3,neutral,62.0
11,11,11,-0.0,R,-2147483648,2006-02-01,Jefferies,Not Provided,3,hold,60.5
12,12,12,-0.0,M,-2147483648,2005-12-21,UBS,12 month,3,neutral 2,68.0
13,13,13,-0.0,M,-2147483648,2005-12-20,J.P. Morgan,Not Provided,3,neutral,-0.0
14,14,14,-0.0,M,-2147483648,2005-12-20,Barclays,Not Provided,-2147483648,susp/negative,57.0
15,15,15,-0.0,M,-2147483648,2005-12-16,EVA Dimensions,Not Provided,5,strong buy,-0.0
16,16,16,-0.0,M,-2147483648,2005-12-14,Credit Suisse,12 month,5,outperform,68.0
17,17,17,-0.0,M,-2147483648,2005-10-31,Wells Fargo Securities,Not Provided,5,outperform,-0.0
18,18,18,-0.0,M,-2147483648,2005-05-13,Great Lakes Review,Not Provided,3,market perform,-0.0
19,19,19,-0.0,M,-2147483648,2005-05-12,KeyBanc Capital Markets,Not Provided,3,hold,-0.0
20,20,20,-0.0,M,-2147483648,2006-02-01,BMO Capital Markets,Not Provided,3,neutral,62.0
21,21,21,-0.0,R,-2147483648,2006-02-01,Jefferies,Not Provided,3,hold,60.5
22,22,22,-0.0,M,-2147483648,2005-12-21,UBS,12 month,3,neutral 2,68.0
23,23,23,-0.0,M,-2147483648,2005-12-20,J.P. Morgan,Not Provided,3,neutral,-0.0
24,24,24,-0.0,M,-2147483648,2005-12-20,Barclays,Not Provided,-2147483648,susp/negative,57.0
25,25,25,-0.0,M,-2147483648,2005-12-16,EVA Dimensions,Not Provided,5,strong buy,-0.0
26,26,26,-0.0,M,-2147483648,2005-12-14,Credit Suisse,12 month,5,outperform,68.0
27,27,27,-0.0,M,-2147483648,2005-05-13,Great Lakes Review,Not Provided,3,market perform,-0.0
28,28,28,-0.0,M,-2147483648,2005-05-12,KeyBanc Capital Markets,Not Provided,3,hold,-0.0
29,29,29,-0.0,R,-2147483648,2006-03-30,Jefferies,Not Provided,3,hold,58.5
30,30,30,-0.0,M,-2147483648,2006-03-27,Credit Suisse,12 month,5,outperform,68.0
31,31,31,-0.0,M,-2147483648,2006-03-27,UBS,12 month,3,neutral 2,64.0
