,index,1 Year Return,Action Code,BARR,Date,Firm Name,Period,Rating,Recommendation,Target Price,Unnamed: 0
0,0,-0.0,M,-2147483648,2005-11-08,Soleil Securities,Not Provided,5,buy,33.33,0.0
1,1,-0.0,M,-2147483648,2005-10-27,Prudential Equity Group Inc,Not Provided,3,neutral weight,30.0,1.0
2,2,-0.0,M,-2147483648,2005-08-18,Morgan Stanley,Not Provided,3,Equalwt/Attractive,-0.0,2.0
3,3,-0.0,M,-2147483648,2005-06-06,Goldman Sachs,Not Provided,3,in-line,-0.0,3.0
4,4,-0.0,M,-2147483648,2005-05-05,Bear Stearns & Co,Not Provided,3,peerperform,-0.0,4.0
5,5,-0.0,M,-2147483648,2005-11-08,Soleil Securities,Not Provided,5,buy,33.33,5.0
6,6,-0.0,M,-2147483648,2005-10-27,Prudential Equity Group Inc,Not Provided,3,neutral weight,30.0,6.0
7,7,-0.0,M,-2147483648,2005-08-18,Morgan Stanley,Not Provided,3,Equalwt/Attractive,-0.0,7.0
8,8,-0.0,M,-2147483648,2005-06-06,Goldman Sachs,Not Provided,3,in-line,-0.0,8.0
9,9,-0.0,M,-2147483648,2005-05-05,Bear Stearns & Co,Not Provided,3,peerperform,-0.0,9.0
10,10,-0.0,M,-2147483648,2006-02-17,Prudential Equity Group Inc,Not Provided,3,neutral weight,30.0,10.0
11,11,-0.0,M,-2147483648,2005-11-08,Soleil Securities,Not Provided,5,buy,33.33,11.0
12,12,-0.0,M,-2147483648,2005-08-18,Morgan Stanley,Not Provided,3,Equalwt/Attractive,-0.0,12.0
13,13,-0.0,M,-2147483648,2005-06-06,Goldman Sachs,Not Provided,3,in-line,-0.0,13.0
14,14,-0.0,M,-2147483648,2005-05-05,Bear Stearns & Co,Not Provided,3,peerperform,-0.0,14.0
15,15,-0.0,M,-2147483648,2006-02-17,Prudential Equity Group Inc,Not Provided,3,neutral weight,30.0,15.0
16,16,-0.0,M,-2147483648,2005-11-08,Soleil Securities,Not Provided,5,buy,33.33,16.0
17,17,-0.0,M,-2147483648,2005-08-18,Morgan Stanley,Not Provided,3,Equalwt/Attractive,-0.0,17.0
18,18,-0.0,M,-2147483648,2005-06-06,Goldman Sachs,Not Provided,3,in-line,-0.0,18.0
19,19,-0.0,M,-2147483648,2005-05-05,Bear Stearns & Co,Not Provided,3,peerperform,-0.0,19.0
20,20,-0.0,M,-2147483648,2006-04-12,Soleil Securities,Not Provided,5,buy,40.0,20.0
21,21,-0.0,M,-2147483648,2006-02-17,Prudential Equity Group Inc,Not Provided,3,neutral weight,30.0,21.0
22,22,-0.0,M,-2147483648,2005-08-18,Morgan Stanley,Not Provided,3,Equalwt/Attractive,-0.0,22.0
23,23,-0.0,M,-2147483648,2005-06-06,Goldman Sachs,Not Provided,3,in-line,-0.0,23.0
24,24,-0.0,M,-2147483648,2005-05-05,Bear Stearns & Co,Not Provided,3,peerperform,-0.0,24.0
25,25,-0.0,M,-2147483648,2006-05-02,Prudential Equity Group Inc,Not Provided,3,neutral weight,35.0,25.0
26,26,-0.0,M,-2147483648,2006-04-12,Soleil Securities,Not Provided,5,buy,40.0,26.0
27,27,-0.0,M,-2147483648,2005-08-18,Morgan Stanley,Not Provided,3,Equalwt/Attractive,-0.0,27.0
28,28,-0.0,M,-2147483648,2005-06-06,Goldman Sachs,Not Provided,3,in-line,-0.0,28.0
29,29,-0.0,M,-2147483648,2005-05-05,Bear Stearns & Co,Not Provided,3,peerperform,-0.0,29.0
30,30,-0.0,M,-2147483648,2006-06-26,Goldman Sachs,Not Provided,3,in-line/neutral,45.0,30.0
31,31,-0.0,M,-2147483648,2006-05-02,Prudential Equity Group Inc,Not Provided,3,neutral weight,35.0,31.0
32,32,-0.0,M,-2147483648,2006-04-12,Soleil Securities,Not Provided,5,buy,40.0,32.0
33,33,-0.0,M,-2147483648,2005-08-18,Morgan Stanley,Not Provided,3,Equalwt/Attractive,-0.0,33.0
34,34,-0.0,M,-2147483648,2005-05-05,Bear Stearns & Co,Not Provided,3,peerperform,-0.0,34.0
35,35,-0.0,N,-2147483648,2006-07-07,Cathay Financial,Not Provided,3,neutral,39.0,35.0
36,36,-0.0,M,-2147483648,2006-06-26,Goldman Sachs,Not Provided,3,in-line/neutral,45.0,36.0
37,37,-0.0,M,-2147483648,2006-05-02,Prudential Equity Group Inc,Not Provided,3,neutral weight,35.0,37.0
38,38,-0.0,M,-2147483648,2006-04-12,Soleil Securities,Not Provided,5,buy,40.0,38.0
39,39,-0.0,M,-2147483648,2005-08-18,Morgan Stanley,Not Provided,3,Equalwt/Attractive,-0.0,39.0
40,40,-0.0,M,-2147483648,2005-05-05,Bear Stearns & Co,Not Provided,3,peerperform,-0.0,40.0
41,41,-0.0,M,-2147483648,2006-08-03,Goldman Sachs,Not Provided,3,in-line/neutral,47.0,41.0
42,42,-0.0,M,-2147483648,2006-08-02,Prudential Equity Group Inc,Not Provided,3,neutral weight,40.0,42.0
43,43,-0.0,N,-2147483648,2006-07-07,Cathay Financial,Not Provided,3,neutral,39.0,43.0
44,44,-0.0,M,-2147483648,2006-04-12,Soleil Securities,Not Provided,5,buy,40.0,44.0
45,45,-0.0,M,-2147483648,2005-08-18,Morgan Stanley,Not Provided,3,Equalwt/Attractive,-0.0,45.0
46,46,-0.0,M,-2147483648,2005-05-05,Bear Stearns & Co,Not Provided,3,peerperform,-0.0,46.0
47,47,-0.0,M,-2147483648,2006-08-03,Goldman Sachs,Not Provided,3,in-line/neutral,47.0,47.0
48,48,-0.0,N,-2147483648,2006-07-07,Cathay Financial,Not Provided,3,neutral,39.0,48.0
49,49,-0.0,M,-2147483648,2006-04-12,Soleil Securities,Not Provided,5,buy,40.0,49.0
50,50,-0.0,M,-2147483648,2005-08-18,Morgan Stanley,Not Provided,3,Equalwt/Attractive,-0.0,50.0
51,51,-0.0,M,-2147483648,2005-05-05,Bear Stearns & Co,Not Provided,3,peerperform,-0.0,51.0
52,52,-0.0,M,-2147483648,2006-11-01,Goldman Sachs,Not Provided,3,neutral/neutral,49.0,52.0
53,53,-0.0,M,-2147483648,2006-11-01,Soleil Securities,Not Provided,5,buy,45.0,53.0
54,54,-0.0,M,-2147483648,2006-10-31,Cathay Financial,Not Provided,3,neutral,39.0,54.0
55,55,-0.0,M,-2147483648,2005-08-18,Morgan Stanley,Not Provided,3,Equalwt/Attractive,-0.0,55.0
56,56,-0.0,M,-2147483648,2005-05-05,Bear Stearns & Co,Not Provided,3,peerperform,-0.0,56.0
57,57,-0.0,M,-2147483648,2006-11-21,Cathay Financial,Not Provided,3,neutral,43.0,57.0
58,58,-0.0,M,-2147483648,2006-11-01,Goldman Sachs,Not Provided,3,neutral/neutral,49.0,58.0
59,59,-0.0,M,-2147483648,2006-11-01,Soleil Securities,Not Provided,5,buy,45.0,59.0
60,60,-0.0,M,-2147483648,2005-08-18,Morgan Stanley,Not Provided,3,Equalwt/Attractive,-0.0,60.0
61,61,-0.0,M,-2147483648,2005-05-05,Bear Stearns & Co,Not Provided,3,peerperform,-0.0,61.0
62,62,-0.0,M,-2147483648,2006-11-21,Cathay Financial,Not Provided,3,neutral,43.0,62.0
63,63,-0.0,M,-2147483648,2006-11-01,Goldman Sachs,Not Provided,3,neutral/neutral,49.0,63.0
64,64,-0.0,M,-2147483648,2006-11-01,Soleil Securities,Not Provided,5,buy,45.0,64.0
65,65,-0.0,M,-2147483648,2005-08-18,Morgan Stanley,Not Provided,3,Equalwt/Attractive,-0.0,65.0
66,66,-0.0,M,-2147483648,2005-05-05,Bear Stearns & Co,Not Provided,3,peerperform,-0.0,66.0
67,67,-0.0,M,-2147483648,2007-01-31,Soleil Securities,Not Provided,5,buy,45.0,67.0
68,68,-0.0,M,-2147483648,2006-11-21,Cathay Financial,Not Provided,3,neutral,43.0,68.0
69,69,-0.0,M,-2147483648,2006-11-01,Goldman Sachs,Not Provided,3,neutral/neutral,49.0,69.0
70,70,-0.0,M,-2147483648,2005-08-18,Morgan Stanley,Not Provided,3,Equalwt/Attractive,-0.0,70.0
71,71,-0.0,M,-2147483648,2005-05-05,Bear Stearns & Co,Not Provided,3,peerperform,-0.0,71.0
72,72,-0.0,M,-2147483648,2007-02-15,Goldman Sachs,Not Provided,3,neutral/neutral,50.0,72.0
73,73,-0.0,M,-2147483648,2007-02-12,Soleil Securities,Not Provided,5,buy,50.0,73.0
74,74,-0.0,M,-2147483648,2006-11-21,Cathay Financial,Not Provided,3,neutral,43.0,74.0
