,1 Year Return,Action Code,BARR,Date,Firm Name,Period,Rating,Recommendation,Target Price
853,-0.000000,M,-2147483648,2012-05-18,Portales Partners,Not Provided,5,outperform,-0.000000
854,-0.000000,M,-2147483648,2012-05-10,Stifel,Not Provided,3,hold,-0.000000
855,-0.000000,M,-2147483648,2012-05-01,Davenport & Co,Not Provided,3,neutral,-0.000000
856,-0.000000,M,-2147483648,2012-04-27,UBS,12 month,3,neutral,95.360000
857,-0.000000,M,-2147483648,2012-04-27,SunTrust Robinson Humphrey,Not Provided,3,neutral,-0.000000
858,-0.000000,M,-2147483648,2012-04-27,J.P. Morgan,3 month,3,neutral,103.310000
859,-0.000000,M,-2147483648,2012-04-27,"Sandler O'Neill & Partners, LP",12 month,3,hold,105.960000
860,-0.000000,M,-2147483648,2012-04-27,Sterne Agee CRT,12 month,1,underperform,100.660000
861,-0.000000,M,-2147483648,2012-04-27,"Miller Tabak + Co., LLC",12 month,5,buy,106.970000
862,-0.000000,M,-2147483648,2012-04-27,Barclays,Not Provided,5,overwt/positive,116.560000
863,-0.000000,M,-2147483648,2012-04-26,Janney Montgomery Scott LLC,Not Provided,5,buy,-0.000000
864,-0.000000,M,-2147483648,2012-04-26,"Keefe, Bruyette & Woods",12 month,5,outperform,111.260000
865,-0.000000,M,-2147483648,2012-06-27,William Blair & Co,Not Provided,5,outperform,-0.000000
866,-0.000000,M,-2147483648,2012-06-15,SunTrust Robinson Humphrey,Not Provided,3,neutral,-0.000000
867,-0.000000,M,-2147483648,2012-06-05,Barclays,Not Provided,5,overwt/positive,116.560000
868,-0.000000,M,-2147483648,2012-06-04,"Miller Tabak + Co., LLC",12 month,5,buy,106.970000
869,-0.000000,M,-2147483648,2012-05-31,Morgan Stanley,Not Provided,3,Equalwt/In-Line,-0.000000
870,-0.000000,U,-2147483648,2012-05-28,EVA Dimensions,Not Provided,5,overweight,-0.000000
871,-0.000000,U,-2147483648,2012-05-25,Macquarie,12 month,5,outperform,105.960000
872,-0.000000,M,-2147483648,2012-05-18,Portales Partners,Not Provided,5,outperform,-0.000000
873,-0.000000,M,-2147483648,2012-05-10,Stifel,Not Provided,3,hold,-0.000000
874,-0.000000,M,-2147483648,2012-05-01,Davenport & Co,Not Provided,3,neutral,-0.000000
875,-0.000000,M,-2147483648,2012-04-27,UBS,12 month,3,neutral,95.360000
876,-0.000000,M,-2147483648,2012-04-27,J.P. Morgan,3 month,3,neutral,103.310000
877,-0.000000,M,-2147483648,2012-04-27,"Sandler O'Neill & Partners, LP",12 month,3,hold,105.960000
878,-0.000000,M,-2147483648,2012-04-27,Sterne Agee CRT,12 month,1,underperform,100.660000
879,-0.000000,M,-2147483648,2012-04-26,Janney Montgomery Scott LLC,Not Provided,5,buy,-0.000000
880,-0.000000,M,-2147483648,2012-04-26,"Keefe, Bruyette & Woods",12 month,5,outperform,111.260000
881,-0.000000,M,-2147483648,2012-08-01,J.P. Morgan,3 month,3,neutral,103.310000
882,-0.000000,M,-2147483648,2012-08-01,Janney Montgomery Scott LLC,Not Provided,5,buy,-0.000000
883,-0.000000,M,-2147483648,2012-08-01,"Keefe, Bruyette & Woods",12 month,5,outperform,103.310000
884,-0.000000,M,-2147483648,2012-08-01,William Blair & Co,Not Provided,5,outperform,-0.000000
885,-0.000000,M,-2147483648,2012-08-01,"Sandler O'Neill & Partners, LP",12 month,3,hold,105.960000
886,-0.000000,M,-2147483648,2012-08-01,Sterne Agee CRT,12 month,1,underperform,100.660000
887,-0.000000,M,-2147483648,2012-07-30,Stephens Inc,Not Provided,3,equalweight,98.010000
888,-0.000000,M,-2147483648,2012-07-13,Macquarie,12 month,5,outperform,108.610000
889,-0.000000,M,-2147483648,2012-07-02,Barclays,Not Provided,5,overweight,116.560000
890,-0.000000,M,-2147483648,2012-06-15,SunTrust Robinson Humphrey,Not Provided,3,neutral,-0.000000
891,-0.000000,M,-2147483648,2012-06-04,"Miller Tabak + Co., LLC",12 month,5,buy,106.970000
892,-0.000000,M,-2147483648,2012-05-31,Morgan Stanley,Not Provided,3,Equalwt/In-Line,-0.000000
