,index,Unnamed: 0,1 Year Return,Action Code,BARR,Date,Firm Name,Period,Rating,Recommendation,Target Price
229,229,229,-0.0,D,-2147483648,2008-12-02,KeyBanc Capital Markets,Not Provided,3,hold,-0.0
230,230,230,-0.0,D,-2147483648,2008-10-30,EVA Dimensions,Not Provided,3,hold,-0.0
231,231,231,-0.0,M,-2147483648,2008-10-22,Goldman Sachs,12 month,3,neutral/attractive,26.0
232,232,232,-0.0,D,-2147483648,2008-06-16,Longbow Research,Not Provided,3,neutral,-0.0
233,233,233,-0.0,M,-2147483648,2009-01-30,EVA Dimensions,Not Provided,3,hold,-0.0
234,234,234,-0.0,M,-2147483648,2009-01-28,J.P. Morgan,12 month,5,overweight,28.0
235,235,235,-0.0,M,-2147483648,2009-01-28,Wells Fargo Securities,Not Provided,5,outperform,-0.0
236,236,236,-0.0,M,-2147483648,2009-01-28,Barclays,Not Provided,5,overwt/neutral,26.0
237,237,237,-0.0,M,-2147483648,2009-01-27,KeyBanc Capital Markets,Not Provided,3,hold,-0.0
238,238,238,-0.0,M,-2147483648,2008-10-22,Goldman Sachs,12 month,3,neutral/attractive,26.0
239,239,239,-0.0,D,-2147483648,2008-06-16,Longbow Research,Not Provided,3,neutral,-0.0
240,240,240,-0.0,N,-2147483648,2009-02-11,Macquarie,12 month,3,neutral,25.0
241,241,241,-0.0,M,-2147483648,2009-01-30,EVA Dimensions,Not Provided,3,hold,-0.0
242,242,242,-0.0,M,-2147483648,2009-01-28,J.P. Morgan,12 month,5,overweight,28.0
243,243,243,-0.0,M,-2147483648,2009-01-28,Barclays,Not Provided,5,overwt/neutral,26.0
244,244,244,-0.0,M,-2147483648,2009-01-27,KeyBanc Capital Markets,Not Provided,3,hold,-0.0
245,245,245,-0.0,M,-2147483648,2008-10-22,Goldman Sachs,12 month,3,neutral/attractive,26.0
246,246,246,-0.0,D,-2147483648,2008-06-16,Longbow Research,Not Provided,3,neutral,-0.0
247,247,247,-0.0,M,-2147483648,2009-03-10,J.P. Morgan,9 month,5,overweight,16.0
248,248,248,-0.0,M,-2147483648,2009-03-02,KeyBanc Capital Markets,Not Provided,3,hold,-0.0
249,249,249,-0.0,M,-2147483648,2009-03-02,Macquarie,12 month,3,neutral,18.0
250,250,250,-0.0,M,-2147483648,2009-01-30,EVA Dimensions,Not Provided,3,hold,-0.0
251,251,251,-0.0,M,-2147483648,2009-01-28,Barclays,Not Provided,5,overwt/neutral,26.0
252,252,252,-0.0,M,-2147483648,2008-10-22,Goldman Sachs,12 month,3,neutral/attractive,26.0
253,253,253,-0.0,D,-2147483648,2008-06-16,Longbow Research,Not Provided,3,neutral,-0.0
254,254,254,-0.0,M,-2147483648,2009-04-24,J.P. Morgan,9 month,5,overweight,25.0
255,255,255,-0.0,M,-2147483648,2009-04-24,KeyBanc Capital Markets,Not Provided,3,hold,-0.0
256,256,256,-0.0,M,-2147483648,2009-04-24,Macquarie,12 month,3,neutral,24.0
257,257,257,-0.0,M,-2147483648,2009-04-23,Longbow Research,Not Provided,5,buy,31.0
258,258,258,-0.0,M,-2147483648,2009-04-23,Barclays,Not Provided,5,overwt/neutral,26.0
259,259,259,-0.0,M,-2147483648,2009-01-30,EVA Dimensions,Not Provided,3,hold,-0.0
260,260,260,-0.0,M,-2147483648,2008-10-22,Goldman Sachs,12 month,3,neutral/attractive,26.0
261,261,261,-0.0,M,-2147483648,2009-06-01,KeyBanc Capital Markets,Not Provided,3,hold,-0.0
262,262,262,-0.0,M,-2147483648,2009-05-28,Goldman Sachs,12 month,3,neutral/neutral,26.0
263,263,263,-0.0,N,-2147483648,2009-05-28,Baird,Not Provided,5,outperform,28.0
264,264,264,-0.0,M,-2147483648,2009-05-27,J.P. Morgan,9 month,5,overweight,25.0
265,265,265,-0.0,M,-2147483648,2009-04-24,Macquarie,12 month,3,neutral,24.0
266,266,266,-0.0,M,-2147483648,2009-04-23,Longbow Research,Not Provided,5,buy,31.0
267,267,267,-0.0,M,-2147483648,2009-04-23,Barclays,Not Provided,5,overwt/neutral,26.0
268,268,268,-0.0,M,-2147483648,2009-01-30,EVA Dimensions,Not Provided,3,hold,-0.0
269,269,269,-0.0,M,-2147483648,2009-06-16,Macquarie,12 month,3,neutral,24.0
270,270,270,-0.0,M,-2147483648,2009-06-10,Baird,12 month,5,outperform,28.0
271,271,271,-0.0,M,-2147483648,2009-06-05,J.P. Morgan,6 month,5,overweight,27.0
272,272,272,-0.0,M,-2147483648,2009-06-01,KeyBanc Capital Markets,Not Provided,3,hold,-0.0
273,273,273,-0.0,M,-2147483648,2009-05-28,Goldman Sachs,12 month,3,neutral/neutral,26.0
274,274,274,-0.0,M,-2147483648,2009-04-23,Longbow Research,Not Provided,5,buy,31.0
275,275,275,-0.0,M,-2147483648,2009-04-23,Barclays,Not Provided,5,overwt/neutral,26.0
276,276,276,-0.0,M,-2147483648,2009-01-30,EVA Dimensions,Not Provided,3,hold,-0.0
277,277,277,-0.0,M,-2147483648,2009-08-01,EVA Dimensions,Not Provided,3,hold,-0.0
278,278,278,-0.0,M,-2147483648,2009-07-23,KeyBanc Capital Markets,Not Provided,3,hold,-0.0
279,279,279,-0.0,M,-2147483648,2009-07-23,Macquarie,12 month,3,neutral,28.0
280,280,280,-0.0,M,-2147483648,2009-07-22,Goldman Sachs,12 month,3,neutral/neutral,29.0
281,281,281,-0.0,M,-2147483648,2009-07-22,J.P. Morgan,15 month,5,overweight,32.0
282,282,282,-0.0,M,-2147483648,2009-07-22,Longbow Research,Not Provided,5,buy,37.0
283,283,283,-0.0,M,-2147483648,2009-07-22,Barclays,Not Provided,5,overwt/neutral,27.0
284,284,284,-0.0,M,-2147483648,2009-06-10,Baird,12 month,5,outperform,28.0
285,285,285,-0.0,M,-2147483648,2009-08-18,KeyBanc Capital Markets,Not Provided,3,hold,-0.0
286,286,286,-0.0,M,-2147483648,2009-08-13,EVA Dimensions,Not Provided,3,hold,-0.0
287,287,287,-0.0,M,-2147483648,2009-07-23,Macquarie,12 month,3,neutral,28.0
288,288,288,-0.0,M,-2147483648,2009-07-22,Goldman Sachs,12 month,3,neutral/neutral,29.0
289,289,289,-0.0,M,-2147483648,2009-07-22,J.P. Morgan,15 month,5,overweight,32.0
290,290,290,-0.0,M,-2147483648,2009-07-22,Longbow Research,Not Provided,5,buy,37.0
291,291,291,-0.0,M,-2147483648,2009-07-22,Barclays,Not Provided,5,overwt/neutral,27.0
292,292,292,-0.0,M,-2147483648,2009-06-10,Baird,12 month,5,outperform,28.0
293,293,293,-0.0,M,-2147483648,2009-09-18,Goldman Sachs,12 month,3,neutral/neutral,31.0
294,294,294,-0.0,M,-2147483648,2009-09-18,KeyBanc Capital Markets,Not Provided,3,hold,-0.0
295,295,295,-0.0,M,-2147483648,2009-08-13,EVA Dimensions,Not Provided,3,hold,-0.0
296,296,296,-0.0,M,-2147483648,2009-07-23,Macquarie,12 month,3,neutral,28.0
297,297,297,-0.0,M,-2147483648,2009-07-22,J.P. Morgan,15 month,5,overweight,32.0
298,298,298,-0.0,M,-2147483648,2009-07-22,Longbow Research,Not Provided,5,buy,37.0
299,299,299,-0.0,M,-2147483648,2009-07-22,Barclays,Not Provided,5,overwt/neutral,27.0
300,300,300,-0.0,M,-2147483648,2009-06-10,Baird,12 month,5,outperform,28.0
301,301,301,-0.0,D,-2147483648,2009-10-31,EVA Dimensions,Not Provided,3,hold,-0.0
302,302,302,-0.0,M,-2147483648,2009-10-23,Macquarie,12 month,3,neutral,29.0
303,303,303,-0.0,M,-2147483648,2009-10-23,Barclays,Not Provided,3,equalwt/neutral,28.0
304,304,304,-0.0,M,-2147483648,2009-10-22,J.P. Morgan,12 month,5,overweight,32.0
305,305,305,-0.0,M,-2147483648,2009-10-22,KeyBanc Capital Markets,Not Provided,3,hold,-0.0
306,306,306,-0.0,U,-2147483648,2009-10-06,Goldman Sachs,12 month,5,Buy/Neutral,35.0
307,307,307,-0.0,M,-2147483648,2009-07-22,Longbow Research,Not Provided,5,buy,37.0
308,308,308,-0.0,M,-2147483648,2009-06-10,Baird,12 month,5,outperform,28.0
309,309,309,-0.0,D,-2147483648,2009-11-24,EVA Dimensions,Not Provided,3,hold,-0.0
310,310,310,-0.0,M,-2147483648,2009-11-19,Macquarie,12 month,3,neutral,29.0
311,311,311,-0.0,M,-2147483648,2009-10-23,Barclays,Not Provided,3,equalwt/neutral,28.0
312,312,312,-0.0,M,-2147483648,2009-10-22,J.P. Morgan,12 month,5,overweight,32.0
313,313,313,-0.0,M,-2147483648,2009-10-22,KeyBanc Capital Markets,Not Provided,3,hold,-0.0
314,314,314,-0.0,U,-2147483648,2009-10-06,Goldman Sachs,12 month,5,Buy/Neutral,35.0
315,315,315,-0.0,M,-2147483648,2009-07-22,Longbow Research,Not Provided,5,buy,37.0
316,316,316,-0.0,M,-2147483648,2009-06-10,Baird,12 month,5,outperform,28.0
317,317,317,-0.0,U,-2147483648,2009-12-25,EVA Dimensions,Not Provided,5,buy,-0.0
318,318,318,-0.0,M,-2147483648,2009-12-23,KeyBanc Capital Markets,Not Provided,5,buy,30.0
319,319,319,-0.0,M,-2147483648,2009-12-21,Macquarie,12 month,3,neutral,29.0
320,320,320,-0.0,M,-2147483648,2009-10-23,Barclays,Not Provided,3,equalwt/neutral,28.0
321,321,321,-0.0,M,-2147483648,2009-10-22,J.P. Morgan,12 month,5,overweight,32.0
322,322,322,-0.0,U,-2147483648,2009-10-06,Goldman Sachs,12 month,5,Buy/Neutral,35.0
323,323,323,-0.0,M,-2147483648,2009-07-22,Longbow Research,Not Provided,5,buy,37.0
324,324,324,-0.0,M,-2147483648,2009-06-10,Baird,12 month,5,outperform,28.0
325,325,325,-0.0,M,-2147483648,2010-01-28,Baird,12 month,5,outperform,30.0
326,326,326,-0.0,M,-2147483648,2010-01-28,KeyBanc Capital Markets,12 month,5,buy,30.0
327,327,327,-0.0,M,-2147483648,2010-01-28,Macquarie,12 month,3,neutral,28.0
328,328,328,-0.0,M,-2147483648,2010-01-28,Barclays,Not Provided,3,equalwt/neutral,27.0
329,329,329,-0.0,M,-2147483648,2010-01-27,Goldman Sachs,12 month,5,Buy/Neutral,33.0
