,index,Unnamed: 0,1 Year Return,Action Code,BARR,Date,Firm Name,Period,Rating,Recommendation,Target Price
0,0,0,-0.0,R,-2147483648,2005-12-16,BMO Capital Markets,12 month,5,outperform,36.0
1,1,1,-0.0,M,-2147483648,2005-12-16,EVA Dimensions,Not Provided,5,strong buy,-0.0
2,2,2,-0.0,N,-2147483648,2005-10-27,Credit Suisse,12 month,5,outperform,26.0
3,3,3,-0.0,M,-2147483648,2005-08-10,Hilliard Lyons,Not Provided,3,neutral,-0.0
4,4,4,-0.0,M,-2147483648,2005-06-16,Argus Research Corp,Not Provided,5,buy,-0.0
5,5,5,-0.0,N,-2147483648,2005-05-26,Goldman Sachs,Not Provided,3,in-line,-0.0
6,6,6,-0.0,M,-2147483648,2005-05-12,KeyBanc Capital Markets,Not Provided,3,hold,-0.0
7,7,7,-0.0,M,-2147483648,2006-01-12,Credit Suisse,12 month,5,outperform,26.0
8,8,8,-0.0,R,-2147483648,2006-01-11,BMO Capital Markets,12 month,5,outperform,36.0
9,9,9,-0.0,M,-2147483648,2005-12-16,EVA Dimensions,Not Provided,5,strong buy,-0.0
10,10,10,-0.0,M,-2147483648,2005-08-10,Hilliard Lyons,Not Provided,3,neutral,-0.0
11,11,11,-0.0,M,-2147483648,2005-06-16,Argus Research Corp,Not Provided,5,buy,-0.0
12,12,12,-0.0,M,-2147483648,2005-05-12,KeyBanc Capital Markets,Not Provided,3,hold,-0.0
13,13,13,-0.0,M,-2147483648,2006-02-13,BMO Capital Markets,12 month,5,outperform,36.0
14,14,14,-0.0,M,-2147483648,2006-02-13,Credit Suisse,12 month,5,outperform,41.0
15,15,15,-0.0,M,-2147483648,2005-12-16,EVA Dimensions,Not Provided,5,strong buy,-0.0
16,16,16,-0.0,M,-2147483648,2005-08-10,Hilliard Lyons,Not Provided,3,neutral,-0.0
17,17,17,-0.0,M,-2147483648,2005-06-16,Argus Research Corp,Not Provided,5,buy,-0.0
18,18,18,-0.0,M,-2147483648,2006-03-24,BMO Capital Markets,12 month,5,outperform,36.0
