,index,Unnamed: 0,1 Year Return,Action Code,BARR,Date,Firm Name,Period,Rating,Recommendation,Target Price
0,0,0,-0.0,M,-2147483648,2005-12-08,UBS,12 month,3,neutral 1,24.67
1,1,1,-0.0,U,-2147483648,2005-12-06,Morgan Stanley,12 month,5,Overwt/In-Line,32.31
2,2,2,-0.0,M,-2147483648,2005-11-16,EVA Dimensions,Not Provided,3,hold,-0.0
3,3,3,-0.0,D,-2147483648,2005-10-26,Argus Research Corp,Not Provided,1,sell,-0.0
4,4,4,-0.0,D,-2147483648,2005-10-26,Prudential Equity Group Inc,Not Provided,3,neutral weight,19.38
5,5,5,-0.0,U,-2147483648,2005-10-14,Buckingham Research Group,Not Provided,4,accumulate,-0.0
6,6,6,-0.0,M,-2147483648,2005-10-14,Barclays,Not Provided,1,underwt/positive,20.56
7,7,7,-0.0,M,-2147483648,2005-10-12,Credit Suisse,12 month,5,outperform,29.37
8,8,8,-0.0,N,-2147483648,2005-08-30,Goldman Sachs,Not Provided,3,in-line/cautious,-0.0
9,9,9,-0.0,U,-2147483648,2005-02-04,J.P. Morgan,Not Provided,3,neutral,-0.0
10,10,10,-0.0,M,-2147483648,2006-01-27,Credit Suisse,12 month,5,outperform,29.37
11,11,11,-0.0,M,-2147483648,2006-01-26,Prudential Equity Group Inc,Not Provided,3,neutral weight,19.38
12,12,12,-0.0,U,-2147483648,2006-01-23,Goldman Sachs,Not Provided,5,outperf/neutral,-0.0
13,13,13,-0.0,M,-2147483648,2006-01-23,UBS,12 month,3,neutral 1,25.84
14,14,14,-0.0,U,-2147483648,2005-12-06,Morgan Stanley,12 month,5,Overwt/In-Line,32.31
15,15,15,-0.0,M,-2147483648,2005-11-16,EVA Dimensions,Not Provided,3,hold,-0.0
16,16,16,-0.0,D,-2147483648,2005-10-26,Argus Research Corp,Not Provided,1,sell,-0.0
17,17,17,-0.0,U,-2147483648,2005-10-14,Buckingham Research Group,Not Provided,4,accumulate,-0.0
