,index,1 Year Return,Action Code,BARR,Date,Firm Name,Period,Rating,Recommendation,Target Price,Unnamed: 0
0,0,-0.0,M,-2147483648,2017-03-19,Wells Fargo Securities,Not Provided,3,market perform,-0.0,0.0
1,1,-0.0,M,-2147483648,2017-03-02,Evercore ISI,Not Provided,3,in-line,20.0,1.0
2,2,-0.0,M,-2147483648,2017-04-27,Wells Fargo Securities,Not Provided,3,market perform,-0.0,2.0
3,3,-0.0,M,-2147483648,2017-04-24,Nomura Instinet,12 month,2,reduce,15.0,3.0
4,4,-0.0,M,-2147483648,2017-03-02,Evercore ISI,Not Provided,3,in-line,20.0,4.0
5,5,-0.0,M,-2147483648,2017-04-27,Wells Fargo Securities,Not Provided,3,market perform,-0.0,5.0
6,6,-0.0,M,-2147483648,2017-04-24,Nomura Instinet,12 month,2,reduce,15.0,6.0
7,7,-0.0,M,-2147483648,2017-03-02,Evercore ISI,Not Provided,3,in-line,20.0,7.0
8,8,-0.0,M,-2147483648,2017-04-27,Wells Fargo Securities,Not Provided,3,market perform,-0.0,8.0
9,9,-0.0,M,-2147483648,2017-04-24,Nomura Instinet,12 month,2,reduce,15.0,9.0
10,10,-0.0,M,-2147483648,2017-03-02,Evercore ISI,Not Provided,3,in-line,20.0,10.0
11,11,-0.0,M,-2147483648,2017-04-27,Wells Fargo Securities,Not Provided,3,market perform,-0.0,11.0
12,12,-0.0,M,-2147483648,2017-04-24,Nomura Instinet,12 month,2,reduce,15.0,12.0
13,13,-0.0,M,-2147483648,2017-03-02,Evercore ISI,Not Provided,3,in-line,20.0,13.0
14,14,-0.0,M,-2147483648,2017-04-27,Wells Fargo Securities,Not Provided,3,market perform,-0.0,14.0
15,15,-0.0,M,-2147483648,2017-04-24,Nomura Instinet,12 month,2,reduce,15.0,15.0
16,16,-0.0,M,-2147483648,2017-03-02,Evercore ISI,Not Provided,3,in-line,20.0,16.0
17,17,-0.0,M,-2147483648,2017-04-27,Wells Fargo Securities,Not Provided,3,market perform,-0.0,17.0
18,18,-0.0,M,-2147483648,2017-04-24,Nomura Instinet,12 month,2,reduce,15.0,18.0
19,19,-0.0,M,-2147483648,2017-03-02,Evercore ISI,Not Provided,3,in-line,20.0,19.0
20,20,-0.0,M,-2147483648,2017-04-27,Wells Fargo Securities,Not Provided,3,market perform,-0.0,20.0
21,21,-0.0,M,-2147483648,2017-04-24,Nomura Instinet,12 month,2,reduce,15.0,21.0
22,22,-0.0,M,-2147483648,2017-03-02,Evercore ISI,Not Provided,3,in-line,20.0,22.0
23,23,-0.0,M,-2147483648,2017-04-27,Wells Fargo Securities,Not Provided,3,market perform,-0.0,23.0
24,24,-0.0,M,-2147483648,2017-04-24,Nomura Instinet,12 month,2,reduce,15.0,24.0
25,25,-0.0,M,-2147483648,2017-03-02,Evercore ISI,Not Provided,3,in-line,20.0,25.0
26,26,-0.000000,M,-2147483648,2017-03-19,Wells Fargo Securities,Not Provided,3,market perform,-0.000000,
27,27,-0.000000,N,-2147483648,2017-03-02,Evercore ISI,Not Provided,3,in-line,20.000000,
28,28,-0.000000,M,-2147483648,2017-05-01,Wells Fargo Securities,Not Provided,3,market perform,-0.000000,
29,29,-0.000000,N,-2147483648,2017-04-24,Nomura Instinet,12 month,2,reduce,15.000000,
30,30,-0.000000,N,-2147483648,2017-03-02,Evercore ISI,Not Provided,3,in-line,20.000000,
31,31,-0.000000,M,-2147483648,2017-05-01,Wells Fargo Securities,Not Provided,3,market perform,-0.000000,
32,32,-0.000000,N,-2147483648,2017-04-24,Nomura Instinet,12 month,2,reduce,15.000000,
33,33,-0.000000,N,-2147483648,2017-03-02,Evercore ISI,Not Provided,3,in-line,20.000000,
