,1 Year Return,Action Code,BARR,Date,Firm Name,Period,Rating,Recommendation,Target Price
0,-0.000000,M,-2147483648,2005-12-16,Bernstein,Not Provided,5,outperform,90.000000
1,-0.000000,U,-2147483648,2005-12-12,Credit Suisse,12 month,5,outperform,76.000000
2,-0.000000,M,-2147483648,2005-12-08,Barclays,Not Provided,3,equalwt/positive,70.000000
3,-0.000000,M,-2147483648,2005-12-07,"Sandler O'Neill & Partners, LP",12 month,3,hold,72.000000
4,-0.000000,D,-2147483648,2005-12-05,FBR Capital Markets,Not Provided,3,market perform,73.000000
5,-0.000000,N,-2147483648,2005-12-01,Stifel,Not Provided,3,hold,-0.000000
6,-0.000000,M,-2147483648,2005-11-25,Morgan Stanley,Not Provided,3,Equalwt/Attractive,-0.000000
7,-0.000000,M,-2147483648,2005-11-25,A.G. Edwards & Sons Inc,12 month,5,buy,71.000000
8,-0.000000,M,-2147483648,2005-11-25,"Keefe, Bruyette & Woods",Not Provided,3,market perform,63.000000
9,-0.000000,D,-2147483648,2005-11-15,EVA Dimensions,Not Provided,1,strong sell,-0.000000
10,-0.000000,M,-2147483648,2005-11-01,Bear Stearns & Co,Not Provided,1,underperform,-0.000000
11,-0.000000,M,-2147483648,2005-11-01,Wells Fargo Securities,Not Provided,3,market perform,-0.000000
12,-0.000000,D,-2147483648,2005-11-01,Dowling & Partners,Not Provided,3,neutral,-0.000000
13,-0.000000,M,-2147483648,2005-11-01,Fox-Pitt Kelton Cochran Caronia Waller,Not Provided,3,in-line,-0.000000
14,-0.000000,M,-2147483648,2005-07-08,Goldman Sachs,Not Provided,3,in-line,-0.000000
15,-0.000000,M,-2147483648,2005-06-16,Argus Research Corp,Not Provided,3,hold,-0.000000
16,-0.000000,M,-2147483648,2005-04-07,William Blair & Co,Not Provided,5,outperform,-0.000000
17,-0.000000,D,-2147483648,2005-02-10,Cochran Caronia Waller,Not Provided,3,market perform,-0.000000
18,-0.000000,M,-2147483648,2006-01-23,"Keefe, Bruyette & Woods",Not Provided,3,market perform,63.000000
19,-0.000000,M,-2147483648,2006-01-23,"Sandler O'Neill & Partners, LP",12 month,3,hold,75.000000
20,-0.000000,M,-2147483648,2006-01-19,J.P. Morgan,Not Provided,5,overweight,-0.000000
21,-0.000000,N,-2147483648,2006-01-12,HSBC,24 month,5,overweight,83.000000
22,-0.000000,M,-2147483648,2006-01-11,A.G. Edwards & Sons Inc,12 month,5,buy,74.000000
23,-0.000000,M,-2147483648,2006-01-09,Bernstein,Not Provided,5,outperform,90.000000
24,-0.000000,U,-2147483648,2005-12-12,Credit Suisse,12 month,5,outperform,76.000000
25,-0.000000,M,-2147483648,2005-12-08,Barclays,Not Provided,3,equalwt/positive,70.000000
26,-0.000000,D,-2147483648,2005-12-05,FBR Capital Markets,Not Provided,3,market perform,73.000000
27,-0.000000,N,-2147483648,2005-12-01,Stifel,Not Provided,3,hold,-0.000000
28,-0.000000,M,-2147483648,2005-11-25,Morgan Stanley,Not Provided,3,Equalwt/Attractive,-0.000000
29,-0.000000,D,-2147483648,2005-11-15,EVA Dimensions,Not Provided,1,strong sell,-0.000000
30,-0.000000,M,-2147483648,2005-11-01,Bear Stearns & Co,Not Provided,1,underperform,-0.000000
31,-0.000000,M,-2147483648,2005-11-01,Wells Fargo Securities,Not Provided,3,market perform,-0.000000
32,-0.000000,D,-2147483648,2005-11-01,Dowling & Partners,Not Provided,3,neutral,-0.000000
33,-0.000000,M,-2147483648,2005-11-01,Fox-Pitt Kelton Cochran Caronia Waller,Not Provided,3,in-line,-0.000000
34,-0.000000,M,-2147483648,2005-07-08,Goldman Sachs,Not Provided,3,in-line,-0.000000
35,-0.000000,M,-2147483648,2005-06-16,Argus Research Corp,Not Provided,3,hold,-0.000000
36,-0.000000,M,-2147483648,2005-04-07,William Blair & Co,Not Provided,5,outperform,-0.000000
37,-0.000000,D,-2147483648,2005-02-10,Cochran Caronia Waller,Not Provided,3,market perform,-0.000000
38,-0.000000,M,-2147483648,2006-03-01,EVA Dimensions,Not Provided,1,strong sell,-0.000000
39,-0.000000,M,-2147483648,2006-02-24,HSBC,24 month,5,overweight,81.000000
40,-0.000000,M,-2147483648,2006-02-10,Stifel,Not Provided,3,hold,-0.000000
41,-0.000000,M,-2147483648,2006-02-09,Credit Suisse,12 month,5,outperform,74.000000
42,-0.000000,M,-2147483648,2006-02-09,FBR Capital Markets,Not Provided,3,market perform,73.000000
43,-0.000000,M,-2147483648,2006-02-09,Cochran Caronia Waller,Not Provided,3,market perform,-0.000000
44,-0.000000,M,-2147483648,2006-02-09,Wells Fargo Securities,Not Provided,5,outperform,-0.000000
45,-0.000000,M,-2147483648,2006-02-08,"Keefe, Bruyette & Woods",Not Provided,3,market perform,63.000000
46,-0.000000,M,-2147483648,2006-02-08,"Sandler O'Neill & Partners, LP",12 month,3,hold,73.000000
47,-0.000000,M,-2147483648,2006-02-06,Bernstein,Not Provided,5,outperform,90.000000
48,-0.000000,M,-2147483648,2006-01-19,J.P. Morgan,Not Provided,5,overweight,-0.000000
49,-0.000000,M,-2147483648,2006-01-11,A.G. Edwards & Sons Inc,12 month,5,buy,74.000000
50,-0.000000,M,-2147483648,2005-12-08,Barclays,Not Provided,3,equalwt/positive,70.000000
51,-0.000000,M,-2147483648,2005-11-25,Morgan Stanley,Not Provided,3,Equalwt/Attractive,-0.000000
52,-0.000000,M,-2147483648,2005-11-01,Bear Stearns & Co,Not Provided,1,underperform,-0.000000
53,-0.000000,D,-2147483648,2005-11-01,Dowling & Partners,Not Provided,3,neutral,-0.000000
54,-0.000000,M,-2147483648,2005-11-01,Fox-Pitt Kelton Cochran Caronia Waller,Not Provided,3,in-line,-0.000000
55,-0.000000,M,-2147483648,2005-07-08,Goldman Sachs,Not Provided,3,in-line,-0.000000
56,-0.000000,M,-2147483648,2005-06-16,Argus Research Corp,Not Provided,3,hold,-0.000000
57,-0.000000,M,-2147483648,2005-04-07,William Blair & Co,Not Provided,5,outperform,-0.000000
58,-0.000000,M,-2147483648,2006-03-31,Fox-Pitt Kelton Cochran Caronia Waller,Not Provided,3,in-line,-0.000000
59,-0.000000,M,-2147483648,2006-03-07,HSBC,Not Provided,5,overweight,81.000000
60,-0.000000,M,-2147483648,2006-03-01,EVA Dimensions,Not Provided,1,strong sell,-0.000000
61,-0.000000,M,-2147483648,2006-02-10,Stifel,Not Provided,3,hold,-0.000000
62,-0.000000,M,-2147483648,2006-02-09,Credit Suisse,12 month,5,outperform,74.000000
63,-0.000000,M,-2147483648,2006-02-09,FBR Capital Markets,Not Provided,3,market perform,73.000000
64,-0.000000,M,-2147483648,2006-02-09,Cochran Caronia Waller,Not Provided,3,market perform,-0.000000
65,-0.000000,M,-2147483648,2006-02-09,Wells Fargo Securities,Not Provided,5,outperform,-0.000000
66,-0.000000,M,-2147483648,2006-02-08,"Keefe, Bruyette & Woods",Not Provided,3,market perform,63.000000
67,-0.000000,M,-2147483648,2006-02-06,Bernstein,Not Provided,5,outperform,90.000000
68,-0.000000,M,-2147483648,2006-01-19,J.P. Morgan,Not Provided,5,overweight,-0.000000
69,-0.000000,M,-2147483648,2006-01-11,A.G. Edwards & Sons Inc,12 month,5,buy,74.000000
70,-0.000000,M,-2147483648,2005-12-08,Barclays,Not Provided,3,equalwt/positive,70.000000
