,index,1 Year Return,Action Code,BARR,Date,Firm Name,Period,Rating,Recommendation,Target Price,Unnamed: 0
168,168,-0.0,M,-2147483648,2015-07-30,J.P. Morgan,18 month,3,neutral,35.0,168.0
169,169,-0.0,D,-2147483648,2016-06-07,EVA Dimensions,Not Provided,1,underweight,-0.0,169.0
170,170,-0.0,M,-2147483648,2016-05-06,"Morningstar, Inc",Not Provided,5,buy,-0.0,170.0
171,171,-0.0,M,-2147483648,2015-07-30,J.P. Morgan,18 month,3,neutral,35.0,171.0
172,172,-0.0,D,-2147483648,2016-06-07,EVA Dimensions,Not Provided,1,underweight,-0.0,172.0
173,173,-0.0,M,-2147483648,2016-05-06,"Morningstar, Inc",Not Provided,5,buy,-0.0,173.0
174,174,-0.0,M,-2147483648,2015-07-30,J.P. Morgan,18 month,3,neutral,35.0,174.0
175,175,-0.0,D,-2147483648,2016-06-07,EVA Dimensions,Not Provided,1,underweight,-0.0,175.0
176,176,-0.0,M,-2147483648,2016-05-06,"Morningstar, Inc",Not Provided,5,buy,-0.0,176.0
177,177,-0.0,M,-2147483648,2015-07-30,J.P. Morgan,18 month,3,neutral,35.0,177.0
178,178,-0.0,D,-2147483648,2016-06-07,EVA Dimensions,Not Provided,1,underweight,-0.0,178.0
179,179,-0.0,M,-2147483648,2016-05-06,"Morningstar, Inc",Not Provided,5,buy,-0.0,179.0
180,180,-0.0,M,-2147483648,2015-07-30,J.P. Morgan,18 month,3,neutral,35.0,180.0
181,181,-0.0,D,-2147483648,2016-06-07,EVA Dimensions,Not Provided,1,underweight,-0.0,181.0
182,182,-0.0,M,-2147483648,2016-05-06,"Morningstar, Inc",Not Provided,5,buy,-0.0,182.0
183,183,-0.0,M,-2147483648,2015-07-30,J.P. Morgan,18 month,3,neutral,35.0,183.0
184,184,-0.0,D,-2147483648,2016-06-07,EVA Dimensions,Not Provided,1,underweight,-0.0,184.0
185,185,-0.0,M,-2147483648,2016-05-06,"Morningstar, Inc",Not Provided,5,buy,-0.0,185.0
186,186,-0.0,M,-2147483648,2015-07-30,J.P. Morgan,18 month,3,neutral,35.0,186.0
187,187,-0.0,D,-2147483648,2016-06-07,EVA Dimensions,Not Provided,1,underweight,-0.0,187.0
188,188,-0.0,M,-2147483648,2016-05-06,"Morningstar, Inc",Not Provided,5,buy,-0.0,188.0
189,189,0.0,M,1,2015-07-30,J.P. Morgan,18 month,3,neutral,35.0,189.0
190,190,-0.0,D,-2147483648,2016-06-07,EVA Dimensions,Not Provided,1,underweight,-0.0,190.0
191,191,-0.0,M,-2147483648,2016-05-06,"Morningstar, Inc",Not Provided,5,buy,-0.0,191.0
192,192,0.0,M,1,2015-07-30,J.P. Morgan,18 month,3,neutral,35.0,192.0
193,193,-0.0,D,-2147483648,2016-06-07,EVA Dimensions,Not Provided,1,underweight,-0.0,193.0
194,194,-0.0,M,-2147483648,2016-05-06,"Morningstar, Inc",Not Provided,5,buy,-0.0,194.0
195,195,0.0,M,1,2015-07-30,J.P. Morgan,18 month,3,neutral,35.0,195.0
196,196,-0.0,D,-2147483648,2016-06-07,EVA Dimensions,Not Provided,1,underweight,-0.0,196.0
197,197,-0.0,M,-2147483648,2016-05-06,"Morningstar, Inc",Not Provided,5,buy,-0.0,197.0
198,198,0.0,M,1,2015-07-30,J.P. Morgan,18 month,3,neutral,35.0,198.0
199,199,-0.0,D,-2147483648,2016-06-07,EVA Dimensions,Not Provided,1,underweight,-0.0,199.0
200,200,-0.0,M,-2147483648,2016-05-06,"Morningstar, Inc",Not Provided,5,buy,-0.0,200.0
201,201,0.0,M,1,2015-07-30,J.P. Morgan,18 month,3,neutral,35.0,201.0
202,202,-0.0,D,-2147483648,2016-06-07,EVA Dimensions,Not Provided,1,underweight,-0.0,202.0
203,203,-0.0,M,-2147483648,2016-05-06,"Morningstar, Inc",Not Provided,5,buy,-0.0,203.0
204,204,0.0,M,1,2015-07-30,J.P. Morgan,18 month,3,neutral,35.0,204.0
205,205,-0.0,D,-2147483648,2016-06-07,EVA Dimensions,Not Provided,1,underweight,-0.0,205.0
206,206,-0.0,M,-2147483648,2016-05-06,"Morningstar, Inc",Not Provided,5,buy,-0.0,206.0
207,207,0.0,M,1,2015-07-30,J.P. Morgan,18 month,3,neutral,35.0,207.0
208,208,-0.0,D,-2147483648,2016-06-07,EVA Dimensions,Not Provided,1,underweight,-0.0,208.0
209,209,-0.0,M,-2147483648,2016-05-06,"Morningstar, Inc",Not Provided,5,buy,-0.0,209.0
210,210,0.0,M,1,2015-07-30,J.P. Morgan,18 month,3,neutral,35.0,210.0
211,211,-0.000000,D,-2147483648,2016-06-07,EVA Dimensions,Not Provided,1,underweight,-0.000000,
212,212,-0.000000,M,-2147483648,2016-05-06,"Morningstar, Inc",Not Provided,5,buy,-0.000000,
213,213,-0.000000,M,-2147483648,2015-07-30,J.P. Morgan,18 month,3,neutral,35.000000,
214,214,-0.000000,D,-2147483648,2016-06-07,EVA Dimensions,Not Provided,1,underweight,-0.000000,
215,215,-0.000000,M,-2147483648,2016-05-06,"Morningstar, Inc",Not Provided,5,buy,-0.000000,
216,216,-0.000000,M,-2147483648,2015-07-30,J.P. Morgan,18 month,3,neutral,35.000000,
217,217,-0.000000,D,-2147483648,2016-06-07,EVA Dimensions,Not Provided,1,underweight,-0.000000,
218,218,-0.000000,M,-2147483648,2016-05-06,"Morningstar, Inc",Not Provided,5,buy,-0.000000,
219,219,0.000000,M,1,2015-07-30,J.P. Morgan,18 month,3,neutral,35.000000,
