,1 Year Return,Action Code,BARR,Date,Firm Name,Period,Rating,Recommendation,Target Price
0,-0.000000,M,-2147483648,2005-11-07,RBC Capital Markets,Not Provided,3,sector perform,80.000000
1,-0.000000,M,-2147483648,2005-11-01,A.G. Edwards & Sons Inc,Not Provided,5,buy,90.000000
2,-0.000000,M,-2147483648,2005-10-31,Ryan Beck & Co,12 month,5,outperform,87.000000
3,-0.000000,M,-2147483648,2005-10-06,Bear Stearns & Co,Not Provided,5,outperform,92.000000
4,-0.000000,U,-2147483648,2005-08-11,J.P. Morgan,Not Provided,5,overweight,-0.000000
5,-0.000000,M,-2147483648,2005-05-12,KeyBanc Capital Markets,Not Provided,3,hold,-0.000000
6,-0.000000,M,-2147483648,2006-01-20,Bear Stearns & Co,Not Provided,5,outperform,-0.000000
7,-0.000000,M,-2147483648,2005-11-07,RBC Capital Markets,Not Provided,3,sector perform,80.000000
8,-0.000000,M,-2147483648,2005-11-01,A.G. Edwards & Sons Inc,Not Provided,5,buy,90.000000
9,-0.000000,M,-2147483648,2005-10-31,Ryan Beck & Co,12 month,5,outperform,87.000000
10,-0.000000,U,-2147483648,2005-08-11,J.P. Morgan,Not Provided,5,overweight,-0.000000
11,-0.000000,M,-2147483648,2005-05-12,KeyBanc Capital Markets,Not Provided,3,hold,-0.000000
12,-0.000000,M,-2147483648,2006-02-10,Ryan Beck & Co,12 month,5,outperform,92.000000
13,-0.000000,M,-2147483648,2006-02-10,Bear Stearns & Co,Not Provided,5,outperform,95.000000
14,-0.000000,M,-2147483648,2005-11-07,RBC Capital Markets,Not Provided,3,sector perform,80.000000
15,-0.000000,M,-2147483648,2005-11-01,A.G. Edwards & Sons Inc,Not Provided,5,buy,90.000000
16,-0.000000,U,-2147483648,2005-08-11,J.P. Morgan,Not Provided,5,overweight,-0.000000
17,-0.000000,M,-2147483648,2005-05-12,KeyBanc Capital Markets,Not Provided,3,hold,-0.000000
18,-0.000000,M,-2147483648,2006-03-16,A.G. Edwards & Sons Inc,Not Provided,5,buy,105.000000
19,-0.000000,M,-2147483648,2006-03-13,Ryan Beck & Co,12 month,5,outperform,100.000000
