Date,Firm Name,Period,Rating,Recommendation,Target Price
2005-04-21,J.P. Morgan,Not Provided,3.0,neutral,-0.0
2005-05-12,KeyBanc Capital Markets,12 month,5.0,buy,25.0
2005-10-20,EVA Dimensions,Not Provided,1.0,sell,-0.0
2005-11-08,Morgan Stanley,Not Provided,1.0,Underwt/Cautious,-0.0
2006-02-13,EVA Dimensions,Not Provided,1.0,sell,-0.0
2006-03-06,KeyBanc Capital Markets,Not Provided,3.0,hold,-0.0
2006-05-10,EVA Dimensions,Not Provided,1.0,sell,-0.0
2006-05-11,BB&T Capital Markets,12 month,5.0,buy,17.0
2006-06-22,BB&T Capital Markets,12 month,5.0,buy,15.0
