Date,Q_std
2010-03-09,0.13994582548234644
2010-03-10,0.14493611122643388
2010-03-11,0.1427562827181607
2010-03-12,0.1448159763085216
2010-03-15,0.1399194760630463
2010-03-16,0.14142303125376793
2010-03-17,0.13998617062028187
2010-03-18,0.13929338479203848
2010-03-19,0.14102793463299562
2010-03-22,0.13925674968573076
2010-03-23,0.1362015042743173
2010-03-24,0.1394216228688775
2010-03-25,0.13391352148254024
2010-03-26,0.1361790669581062
2010-03-29,0.13932533563516683
2010-03-30,0.1346198916788253
2010-03-31,0.13462381241648538
2010-04-01,0.1343749830871888
2010-04-05,0.13395998884702615
2010-04-06,0.1448073519196271
2010-04-07,0.13795940959876682
2010-04-08,0.1399699457823918
2010-04-09,0.14437906628080915
2010-04-12,0.1337199409979201
2010-04-13,0.13721319213710875
2010-04-14,0.11578708919317757
2010-04-15,0.11545289951571766
2010-04-16,0.11711966222778293
2010-04-19,0.11037632471175936
2010-04-20,0.11099863852818652
2010-04-21,0.11043110892667653
2010-04-22,0.1070228604001513
2010-04-23,0.10704800573674647
2010-04-26,0.10759586773906077
2010-04-27,0.10312246121056702
2010-04-28,0.0993396656536034
2010-04-29,0.0966232028726384
2010-04-30,0.09622189361393942
2010-05-03,0.09775266324370632
2010-05-04,0.11298879657407786
2010-05-05,0.11742277425692192
2010-05-06,0.12670614947006345
2010-05-07,0.12339710414208119
2010-05-10,0.15516257625427857
2010-05-11,0.12035841368369044
2010-05-12,0.12243453906752527
2010-05-13,0.12253566499362663
2010-05-14,0.12710716830103103
2010-05-17,0.12689070025365295
2010-05-18,0.1280481163080023
2010-05-19,0.12467492003093228
2010-05-20,0.1355333967132043
2010-05-21,0.1347489007564513
2010-05-24,0.14305286328547062
2010-05-25,0.14310167997695
2010-05-26,0.1438483329752286
2010-05-27,0.13616634262022262
2010-05-28,0.13972814341560844
2010-06-01,0.14878509234191722
2010-06-02,0.14726555888001666
2010-06-03,0.14521318657231364
2010-06-04,0.15429206155490421
2010-06-07,0.16690973840730525
2010-06-08,0.16514271814468998
2010-06-09,0.16888372611675123
2010-06-10,0.1587688100467586
2010-06-11,0.15107843713305968
2010-06-14,0.15458349301754193
2010-06-15,0.14012687635508322
2010-06-16,0.14513272942125013
2010-06-17,0.143867936921318
2010-06-18,0.13788173626539169
2010-06-21,0.15250546989694458
2010-06-22,0.1530027895019864
2010-06-23,0.149715229336968
2010-06-24,0.1483879934694725
2010-06-25,0.14910014412714487
2010-06-28,0.15004392094838323
2010-06-29,0.15781026960244138
2010-06-30,0.16038835014996125
2010-07-01,0.1607066584862686
2010-07-02,0.16591445499660964
2010-07-06,0.17547471316278848
2010-07-07,0.16172058638513115
2010-07-08,0.15277819304349444
2010-07-09,0.14789095896443985
2010-07-12,0.14791377493062405
2010-07-13,0.13471414242937477
2010-07-14,0.13707150359567516
2010-07-15,0.1402520158859739
2010-07-16,0.14004785952364965
2010-07-19,0.13916226370671236
2010-07-20,0.13936127476984528
2010-07-21,0.14075519003842435
2010-07-22,0.13196469664153884
2010-07-23,0.13003996894155584
2010-07-26,0.12994345657734485
2010-07-27,0.12969452111173432
2010-07-28,0.12455934688217381
2010-07-29,0.12402563759094073
2010-07-30,0.11111307440201655
2010-08-02,0.10850627461020462
2010-08-03,0.11188114882476043
2010-08-04,0.12698709392909382
2010-08-05,0.12801209116763598
2010-08-06,0.12323155668926436
2010-08-09,0.12229475712283051
2010-08-10,0.12218712835567701
2010-08-11,0.12591920946837756
2010-08-12,0.12139603205665324
2010-08-13,0.12439255927076262
2010-08-16,0.12118895140434671
2010-08-17,0.12364154486053197
2010-08-18,0.12318396412844072
2010-08-19,0.12458317493803658
2010-08-20,0.12345753732541118
2010-08-23,0.12287539143463695
2010-08-24,0.13046733637538346
2010-08-25,0.12796646768437095
2010-08-26,0.12958717915556686
2010-08-27,0.1306487555098591
2010-08-30,0.13177980973305936
2010-08-31,0.13707957174670027
2010-09-01,0.12941700382469806
2010-09-02,0.12916329959120965
2010-09-03,0.1257024905158252
2010-09-07,0.13164272470419894
2010-09-08,0.12906481400979883
2010-09-09,0.13176444033708762
2010-09-10,0.1411155027136992
2010-09-13,0.1289659682730248
2010-09-14,0.12954060914392987
2010-09-15,0.13297640526647223
2010-09-16,0.13422304811295455
2010-09-17,0.12973543493429412
2010-09-20,0.12476394072984306
2010-09-21,0.12684345150512785
2010-09-22,0.12999436417000027
2010-09-23,0.1262491236794892
2010-09-24,0.12196244557513491
2010-09-27,0.12684225334436527
2010-09-28,0.11709220953553402
2010-09-29,0.12131553202905114
2010-09-30,0.11582387322539374
2010-10-01,0.11486782682339643
2010-10-04,0.12845637723053208
2010-10-05,0.11962615167676602
2010-10-06,0.11426545029528834
2010-10-07,0.11570097040777562
2010-10-08,0.12931515225150259
2010-10-11,0.12892990238199062
2010-10-12,0.13095882682414706
2010-10-13,0.12496102365039835
2010-10-14,0.12278958411704063
2010-10-15,0.12330921518019429
2010-10-18,0.11657823039627026
2010-10-19,0.12401806328536638
2010-10-20,0.14761519786147548
2010-10-21,0.14299837421486936
2010-10-22,0.14527698987534543
2010-10-25,0.1418783804082896
2010-10-26,0.120094713735679
2010-10-27,0.11483878830938218
2010-10-28,0.11809125024371006
2010-10-29,0.125362656119386
2010-11-01,0.11839663908934106
2010-11-02,0.11798390012589384
2010-11-03,0.11375084661215132
2010-11-04,0.11010582732110977
2010-11-05,0.10880720474427015
2010-11-08,0.10287243766367024
2010-11-09,0.11410926556653878
2010-11-10,0.10551503251055007
2010-11-11,0.10474729476673633
