,Open,High,Low,Close
2006-01-03,44.8,44.8,42.95,44.2
2006-01-04,44.2,44.86,43.65,43.69
2006-01-05,43.69,44.44,42.92,43.17
2006-01-06,43.7,44.95,43.3,44.81
2006-01-09,45.03,45.2,44.56,44.69
2006-01-10,44.6,44.63,43.95,44.06
2006-01-11,43.9,44.05,42.4,43.03
2006-01-12,42.95,44.28,42.95,43.65
2006-01-13,43.75,44.2,43.2,44.05
2006-01-17,44.05,44.07,43.04,43.64
2006-01-18,43.65,44.71,43.65,44.55
2006-01-19,44.05,44.06,42.37,43.13
2006-01-20,43.0,43.0705,42.117,42.22
2006-01-23,42.1,42.41,41.25,42.21
2006-01-24,42.45,43.27,42.43,43.0
2006-01-25,42.9,43.22,42.04,42.72
2006-01-26,42.8,42.86,41.97,41.99
2006-01-27,42.0,42.64,41.96,42.26
2006-01-30,42.25,42.43,41.7,41.89
2006-01-31,41.45,41.76,40.9,41.5
2006-02-01,41.5,42.1,41.45,41.59
2006-02-02,41.612,41.89,40.52,41.48
2006-02-03,41.1,43.22,40.9,42.72
2006-02-06,42.72,42.72,41.33,41.92
2006-02-07,41.72,42.32,41.6,42.05
2006-02-08,42.05,42.36,41.23,41.61
2006-02-09,41.61,42.4,41.5,41.73
2006-02-10,41.9,41.95,41.42,41.5
2006-02-13,41.45,41.48,41.0,41.05
2006-02-14,41.16,41.52,40.5,41.21
2006-02-15,41.4,42.81,41.36,41.97
2006-02-16,41.95,42.1701,41.7,41.94
2006-02-17,41.83,41.9,41.28,41.58
2006-02-21,41.85,41.96,41.35,41.42
2006-02-22,41.75,41.75,41.29,41.61
2006-02-23,41.61,42.8,40.34,41.63
2006-02-24,41.63,42.65,41.3,42.56
2006-02-27,42.8,43.34,42.74,43.26
2006-02-28,42.9,43.13,41.7,41.95
2006-03-01,42.4,43.06,42.1,43.04
2006-03-02,43.04,43.2,42.72,43.03
2006-03-03,43.009,43.75,42.88,43.28
2006-03-06,43.25,43.28,42.58,42.8
2006-03-07,42.87,43.71,42.35,42.38
2006-03-08,42.38,42.5,41.8,42.01
2006-03-09,42.2,42.53,41.85,41.94
2006-03-10,41.9,42.23,41.57,41.7
2006-03-13,41.7,42.17,41.25,41.8
2006-03-14,41.85,42.14,41.63,42.01
2006-03-15,42.01,42.18,41.58,41.85
2006-03-16,41.95,41.95,41.49,41.49
2006-03-17,41.8,42.1244,41.65,41.82
2006-03-20,42.07,42.34,41.42,41.59
2006-03-21,41.25,41.798,41.1,41.4
2006-03-22,40.45,42.4,40.45,42.3
2006-03-23,42.03,42.36,41.54,42.08
2006-03-24,42.4,42.9,41.87,42.41
2006-03-27,42.59,42.7,42.11,42.5
2006-03-28,42.5,42.7,41.77,41.87
2006-03-29,42.07,42.26,41.5,41.92
2006-03-30,41.75,42.15,40.89,41.3
2006-03-31,41.3,41.81,41.27,41.38
2006-04-03,41.55,41.7,41.14,41.14
2006-04-04,41.13,41.21,39.79,41.08
2006-04-05,41.0,41.01,38.75,39.92
2006-04-06,39.95,40.3,38.25,38.84
2006-04-07,39.2,39.5,38.55,38.64
2006-04-10,40.2,40.2,38.75,39.44
2006-04-11,39.25,39.71,38.6,39.4
2006-04-12,39.4,40.1,39.06,39.22
2006-04-13,38.27,39.47,38.27,39.3
2006-04-17,39.29,39.4,38.87,39.08
2006-04-18,39.35,39.69,38.3,38.55
2006-04-19,36.95,38.27,36.2,37.35
2006-04-20,37.5,38.62,37.5,38.55
2006-04-21,38.9,38.93,38.12,38.65
2006-04-24,38.58,38.85,38.07,38.2
2006-04-25,38.1,38.11,36.82,36.94
2006-04-26,37.0,37.2,36.42,36.6
2006-04-27,36.4,36.41,34.6,35.67
2006-04-28,35.57,37.79,35.55,37.75
2006-05-01,37.5,37.51,36.63,36.83
2006-05-02,38.95,39.68,38.43,39.01
2006-05-03,39.32,39.37,38.85,38.96
2006-05-04,39.2,39.35,38.63,38.67
2006-05-05,39.3,39.78,39.02,39.41
2006-05-08,38.6,40.62,38.6,40.49
2006-05-09,40.35,40.35,38.93,39.27
2006-05-10,39.25,39.81,39.18,39.35
2006-05-11,39.75,39.75,38.87,39.22
2006-05-12,39.22,39.6,38.78,38.93
2006-05-15,38.95,39.76,38.95,39.34
2006-05-16,39.9,41.2,39.01,40.82
2006-05-17,40.2,41.39,40.2,41.15
2006-05-18,41.0,41.49,40.92,41.09
2006-05-19,39.2,39.43,36.98,37.75
2006-05-22,37.76,38.59,37.24,38.23
2006-05-23,38.1,38.75,37.6,37.85
2006-05-24,37.99,38.58,37.2,38.17
2006-05-25,38.5,38.79,38.22,38.6
2006-05-26,38.7,38.85,38.29,38.44
2006-05-30,38.1,38.62,37.76,38.45
2006-05-31,38.35,40.18,38.35,40.17
2006-06-01,40.85,41.59,40.51,41.56
2006-06-02,41.5,41.64,40.8,41.38
2006-06-05,41.38,41.9,40.98,41.45
2006-06-06,41.6,41.79,40.33,40.94
2006-06-07,41.19,42.34,41.13,42.11
2006-06-08,42.85,42.85,41.13,41.77
2006-06-09,41.65,41.92,40.87,41.57
2006-06-12,41.77,41.86,40.15,40.15
2006-06-13,39.9,40.4,39.21,39.87
2006-06-14,39.37,39.55,39.0,39.45
2006-06-15,39.35,40.24,39.2,40.0
2006-06-16,39.55,40.01,39.34,39.59
2006-06-19,40.0,40.05,39.26,39.38
2006-06-20,39.65,39.89,38.78,39.55
2006-06-21,39.5,40.79,39.43,40.6
2006-06-22,40.7,40.94,39.56,39.81
2006-06-23,39.62,41.02,39.48,40.46
2006-06-26,40.75,41.26,40.52,40.6
2006-06-27,40.61,40.88,40.18,40.18
2006-06-28,40.43,40.8,40.03,40.19
2006-06-29,40.6,41.75,40.6,41.62
2006-06-30,42.0,42.96,41.95,42.17
2006-07-03,42.37,42.52,41.7,42.43
2006-07-05,42.0,42.76,41.96,42.39
2006-07-06,42.43,43.65,42.43,43.07
2006-07-07,43.2,44.52,43.07,44.0
2006-07-10,44.1,44.45,43.65,43.73
2006-07-11,43.88,44.4,43.73,44.23
2006-07-12,44.4,44.66,43.5,43.66
2006-07-13,43.76,44.2,42.97,43.2
2006-07-14,43.05,44.0,42.7,43.62
2006-07-17,43.62,44.58,43.5265,44.07
2006-07-18,44.35,44.37,43.52,43.97
2006-07-19,44.3,46.12,44.24,45.77
2006-07-20,45.8,46.17,45.45,45.45
2006-07-21,45.3,45.32,44.513,45.15
2006-07-24,45.05,45.73,44.74,45.73
2006-07-25,45.73,46.18,45.41,46.02
2006-07-26,45.82,46.29,45.59,45.93
2006-07-27,45.85,45.87,44.92,45.7
2006-07-28,45.95,46.05,44.87,45.4
2006-07-31,45.35,45.71,44.68,45.1
2006-08-01,44.8,45.45,44.36,44.91
2006-08-02,45.25,46.2,45.2,45.69
2006-08-03,45.7,45.95,45.22,45.3
2006-08-04,46.05,47.04,45.93,46.4
2006-08-07,46.3,47.28,45.89,46.94
2006-08-08,47.45,49.8,47.45,47.68
2006-08-09,48.25,49.05,48.19,48.47
2006-08-10,48.5,48.94,48.35,48.89
2006-08-11,48.6,48.85,47.84,48.21
2006-08-14,48.8,48.82,48.11,48.34
2006-08-15,49.54,49.54,48.56,49.1
2006-08-16,49.35,49.35,48.46,48.59
2006-08-17,49.0,49.25,48.72,48.9
2006-08-18,48.9,49.0,48.1,48.18
2006-08-21,48.18,48.65,48.05,48.37
2006-08-22,48.5,49.05,48.33,48.83
2006-08-23,49.2,49.2,48.47,48.7
2006-08-24,48.8,49.47,48.8,49.25
2006-08-25,48.9,48.93,48.4,48.62
2006-08-28,48.7,50.18,48.23,49.71
2006-08-29,49.91,50.37,49.8,50.22
2006-08-30,50.47,50.94,49.77,49.8
2006-08-31,50.05,50.3,49.5501,50.24
2006-09-01,49.6,50.22,48.53,49.75
2006-09-05,49.4,50.56,49.4,50.45
2006-09-06,50.55,51.2,50.45,51.05
