Date,INVENTORY_GROWTH_TO_SALES_GROWTH
2006-03-31,1.054
2006-06-30,1.4101
2006-09-30,1.0092
2006-12-31,2.7577
2007-03-31,3.5449
2007-06-30,0.8601
2007-09-30,1.2678
2007-12-31,1.9274
2008-03-31,0.0064
2008-06-30,-526.8068
2008-09-30,-2.7888
2008-12-31,0.0836
2009-03-31,0.1211
2009-06-30,0.5252
2009-09-30,1.4655
2009-12-31,0.0315
2010-03-31,0.1095
2010-06-30,1.6248
2010-09-30,0.1678
2010-12-31,1.493
2011-03-31,0.8052
2011-06-30,0.583
2011-09-30,27.0815
2011-12-31,-0.0779
2012-03-31,-0.5396
2012-06-30,-0.3209
2012-09-30,-1.2795
2012-12-31,2.1668
2013-03-31,-36.4365
2013-06-30,-5.4758
2013-09-30,0.2388
2013-12-31,0.3177
2014-03-31,0.9743
2014-06-30,0.2979
2014-09-30,-1.7227
2014-12-31,-0.6189
2015-03-31,-0.0207
2015-06-30,-0.1402
2015-09-30,0.0188
2015-12-31,0.6692
2016-03-31,0.7498
2016-06-30,2.0414
2016-09-30,-2.0922
2016-12-31,-0.4169
2017-03-31,3.6039
