Date,INVENTORY_GROWTH_TO_SALES_GROWTH
2006-03-31,-2.7801
2006-06-30,0.3229
2006-09-30,2.3211
2006-12-31,1.7803
2007-03-31,0.9809
2007-06-30,4.32
2007-09-30,1.8489
2007-12-31,-5.1817
2008-03-31,-0.8852
2008-06-30,-3.5032
2008-09-30,-1.0499
2008-12-31,-1.249
2009-03-31,-1.3415
2009-06-30,0.1978
2009-09-30,1.5002
2009-12-31,2.1278
2010-03-31,1.738
2010-06-30,1.3747
2010-09-30,0.9949
2010-12-31,-0.4166
2011-03-31,-7.1345
2011-06-30,-0.4336
2011-09-30,0.0415
2011-12-31,0.6591
2012-03-31,0.7134
2012-06-30,1.5283
2012-09-30,1.6084
2012-12-31,5.5504
2013-03-31,2.9039
2013-06-30,1.7947
2013-09-30,1.5438
2013-12-31,0.2637
2014-03-31,0.2941
2014-06-30,0.0576
2014-09-30,8.5276
2014-12-31,3.4296
2015-03-31,-23.2583
2015-06-30,1.9577
2015-09-30,-0.833
2015-12-31,-0.4677
2016-03-31,-1.3982
2016-06-30,-47.8086
2016-09-30,-10.2504
2016-12-31,-0.7307
