Date,INVENTORY_GROWTH_TO_SALES_GROWTH
2006-02-28,1.4319
2006-05-31,14.3787
2006-08-31,-3.9201
2006-11-30,1.3984
2007-02-28,0.2602
2007-05-31,0.8594
2007-08-31,1.3576
2007-11-30,1.3572
2008-02-29,1.2761
2008-05-31,0.9164
2008-08-31,0.7529
2008-11-30,0.6545
2009-02-28,0.4757
2009-05-31,0.6878
2009-08-31,0.7763
2009-11-30,1.0802
2010-02-28,1.5476
2010-05-31,4.0466
2010-08-31,-1.0702
2010-11-30,-0.3925
2011-02-28,-0.4841
2011-05-31,-0.4525
2011-08-31,-0.3899
2011-11-30,0.3209
2012-02-29,-0.0501
2012-05-31,-0.7712
2012-08-31,-0.4445
2012-11-30,-0.0706
2013-02-28,0.183
2013-05-31,0.2388
2013-08-31,0.8881
2013-11-30,4.9734
2014-02-28,3.2064
2014-05-31,6.2164
2014-08-31,6.1833
2014-11-30,1.3944
2015-02-28,0.808
2015-05-31,1.2567
2015-08-31,0.1156
2015-11-30,0.1243
2016-02-29,0.4042
2016-05-31,0.1283
2016-08-31,0.6925
2016-11-30,0.1291
2017-02-28,-0.0632
