Date,INVENTORY_GROWTH_TO_SALES_GROWTH
2011-02-28,-0.336
2011-05-31,1.2715
2011-08-31,0.8786
2011-11-30,-3.1169000000000002
2012-02-29,-12.0086
2012-05-31,-36.5699
2012-08-31,18.5951
2012-11-30,-7.2114
2013-02-28,-25.303
2013-05-31,182.7505
2013-08-31,27.4938
2013-11-30,21.4452
2014-02-28,1.9464000000000001
2014-05-31,-6.2366
2014-08-31,-9.8436
2014-11-30,-3.1906
2015-02-28,118.9
2015-05-31,-12.1934
2015-08-31,-23.3622
2015-11-30,-2.2881
2016-02-29,7.5842
2016-05-31,31.0513
2016-08-31,8.0137
2016-11-30,80.0697
2017-02-28,39.4258
