Date,INVENTORY_GROWTH_TO_SALES_GROWTH
2006-07-01,0.0506
2006-09-30,-12.683
2006-12-30,-8.0263
2007-06-30,2.1761
2007-09-27,2.9058
2007-12-29,2.2192
2008-03-29,2.0001
2008-06-28,1.42
2008-09-27,1.1908
2008-12-27,-0.3452
2009-03-28,0.5577
2009-06-27,1.5354
2009-09-26,1.4398
2009-12-26,1.8401999999999998
2010-03-27,1.5899
2010-07-03,0.4527
2010-10-02,-0.227
2011-01-01,-0.7243
2011-04-02,-2.9617
2011-10-01,-0.2225
2011-12-31,-0.0557
2012-03-31,0.2588
2012-09-29,13.6667
2012-12-29,-102.5277
2013-03-30,55.3859
2013-06-29,-4.0633
2013-09-28,-0.297
2013-12-28,-2.6401
2014-03-29,-1.5091999999999999
2014-06-28,0.5122
