Date,Firm Name,Period,Rating,Recommendation,Target Price
2006-07-18,Barclays,12 month,5,overwt/neutral,25.87
2006-06-30,Soleil Securities,12 month,5,buy,22.64
2006-05-11,Morgan Stanley,Not Provided,5,Overwt/Cautious,22.64
2006-03-09,Dr. Kalliwoda Equity Research,Not Provided,5,buy,7.36
2004-10-04,Argus Research Corp,Not Provided,5,buy,-0.0
2006-10-19,Barclays,12 month,5,overwt/positive,25.87
2006-10-18,Bear Stearns & Co,Not Provided,5,outperform,23.44
2006-10-09,Argus Research Corp,Not Provided,5,buy,-0.0
2006-09-21,Credit Suisse,12 month,3,neutral,21.02
2006-09-21,Stanford Group,12 month,5,buy,24.25
2006-09-15,J.P. Morgan,Not Provided,3,neutral,-0.0
2006-09-12,Raymond James,Not Provided,3,market perform,-0.0
2006-09-05,EVA Dimensions,Not Provided,1,sell,-0.0
2006-07-24,Goldman Sachs,Not Provided,3,in-line/neutral,20.21
2006-07-24,CIBC World Markets,Not Provided,3,sector perform,-0.0
2006-07-18,Stifel,Not Provided,5,buy,24.25
2006-06-30,Soleil Securities,12 month,5,buy,22.64
2006-05-11,Morgan Stanley,Not Provided,5,Overwt/Cautious,22.64
2006-03-09,Dr. Kalliwoda Equity Research,Not Provided,5,buy,7.36
2006-11-13,Soleil Securities,12 month,5,buy,22.64
2006-11-10,Goldman Sachs,Not Provided,3,neutral/neutral,21.02
2006-11-10,Credit Suisse,12 month,3,neutral,21.02
2006-11-10,Raymond James,Not Provided,3,market perform,-0.0
2006-11-10,Stifel,Not Provided,5,buy,24.25
2006-11-10,Stanford Group,12 month,5,buy,24.25
2006-10-19,Barclays,12 month,5,overwt/positive,25.87
2006-10-18,Bear Stearns & Co,Not Provided,5,outperform,23.44
2006-10-09,Argus Research Corp,Not Provided,5,buy,-0.0
2006-09-15,J.P. Morgan,Not Provided,3,neutral,-0.0
2006-09-05,EVA Dimensions,Not Provided,1,sell,-0.0
2006-07-24,CIBC World Markets,Not Provided,3,sector perform,-0.0
2006-05-11,Morgan Stanley,Not Provided,5,Overwt/Cautious,22.64
2006-03-09,Dr. Kalliwoda Equity Research,Not Provided,5,buy,7.36
2006-12-19,Soleil Securities,Not Provided,3,hold,22.64
2006-12-14,Prudential Equity Group Inc,Not Provided,3,neutral weight,22.64
2006-12-13,Goldman Sachs,Not Provided,-2147483648,not rated,-0.0
2006-12-13,Credit Suisse,12 month,3,neutral,21.02
2006-12-13,Raymond James,Not Provided,3,market perform,-0.0
2006-12-12,Bear Stearns & Co,Not Provided,5,outperform,24.25
2006-11-10,Stifel,Not Provided,5,buy,24.25
2006-11-10,Stanford Group,12 month,5,buy,24.25
2006-10-19,Barclays,12 month,5,overwt/positive,25.87
2006-10-09,Argus Research Corp,Not Provided,5,buy,-0.0
2006-09-15,J.P. Morgan,Not Provided,3,neutral,-0.0
2006-09-05,EVA Dimensions,Not Provided,1,sell,-0.0
2006-07-24,CIBC World Markets,Not Provided,3,sector perform,-0.0
2006-05-11,Morgan Stanley,Not Provided,5,Overwt/Cautious,22.64
2006-03-09,Dr. Kalliwoda Equity Research,Not Provided,5,buy,7.36
2007-01-24,Morgan Stanley,Not Provided,5,Overwt/In-Line,22.64
2006-12-19,Soleil Securities,Not Provided,3,hold,22.64
2006-12-14,Prudential Equity Group Inc,Not Provided,3,neutral weight,22.64
2006-12-13,Goldman Sachs,Not Provided,-2147483648,not rated,-0.0
2006-12-13,Credit Suisse,12 month,3,neutral,21.02
2006-12-13,Raymond James,Not Provided,3,market perform,-0.0
2006-12-12,Bear Stearns & Co,Not Provided,5,outperform,24.25
2006-11-10,Stifel,Not Provided,5,buy,24.25
2006-11-10,Stanford Group,12 month,5,buy,24.25
2006-10-19,Barclays,12 month,5,overwt/positive,25.87
2006-10-09,Argus Research Corp,Not Provided,5,buy,-0.0
2006-09-15,J.P. Morgan,Not Provided,3,neutral,-0.0
2006-07-24,CIBC World Markets,Not Provided,3,sector perform,-0.0
2006-03-09,Dr. Kalliwoda Equity Research,Not Provided,5,buy,7.36
2007-02-26,Soleil Securities,Not Provided,3,hold,24.25
2007-02-22,Credit Suisse,12 month,3,neutral,24.25
2007-02-22,Prudential Equity Group Inc,Not Provided,3,neutral weight,22.64
2007-02-09,Bear Stearns & Co,Not Provided,5,outperform,25.87
2007-02-09,Raymond James,Not Provided,3,market perform,-0.0
2007-02-09,Stifel,Not Provided,3,hold,-0.0
2007-02-07,Stanford Group,12 month,5,buy,24.25
2007-01-24,Morgan Stanley,Not Provided,5,Overwt/In-Line,22.64
2006-12-13,Goldman Sachs,Not Provided,-2147483648,not rated,-0.0
2006-10-19,Barclays,12 month,5,overwt/positive,25.87
2006-10-09,Argus Research Corp,Not Provided,5,buy,-0.0
2006-09-15,J.P. Morgan,Not Provided,3,neutral,-0.0
2006-07-24,CIBC World Markets,Not Provided,3,sector perform,-0.0
2006-03-09,Dr. Kalliwoda Equity Research,Not Provided,5,buy,7.36
2007-02-26,Soleil Securities,Not Provided,3,hold,24.25
2007-02-22,Credit Suisse,12 month,3,neutral,24.25
2007-02-22,Prudential Equity Group Inc,Not Provided,3,neutral weight,22.64
2007-02-09,Bear Stearns & Co,Not Provided,5,outperform,25.87
2007-02-09,Raymond James,Not Provided,3,market perform,-0.0
2007-02-09,Stifel,Not Provided,3,hold,-0.0
2007-02-07,Stanford Group,12 month,5,buy,24.25
2006-12-13,Goldman Sachs,Not Provided,-2147483648,not rated,-0.0
2006-10-19,Barclays,12 month,5,overwt/positive,25.87
2006-10-09,Argus Research Corp,Not Provided,5,buy,-0.0
2006-09-15,J.P. Morgan,Not Provided,3,neutral,-0.0
2006-07-24,CIBC World Markets,Not Provided,3,sector perform,-0.0
2006-03-09,Dr. Kalliwoda Equity Research,Not Provided,5,buy,7.36
2007-04-23,Prudential Equity Group Inc,Not Provided,3,neutral weight,22.64
2007-02-26,Soleil Securities,Not Provided,3,hold,24.25
2007-02-22,Credit Suisse,12 month,3,neutral,24.25
2007-02-09,Bear Stearns & Co,Not Provided,5,outperform,25.87
2007-02-09,Raymond James,Not Provided,3,market perform,-0.0
