Date,INVENTORY_GROWTH_TO_SALES_GROWTH
2006-04-02,1.8919
2006-07-02,1.9147
2006-10-01,3.0189
2006-12-31,4.6372
2007-04-01,1.0788
2007-07-01,1.2151
2007-09-30,-12.0495
2007-12-30,-0.0353
2008-03-30,0.836
2008-06-29,0.9804
2008-09-28,1.3825
2008-12-28,0.3213
2009-03-29,0.7736
2009-06-28,2.7431
2009-09-27,5.1844
2009-12-27,-0.4709
2010-03-28,0.1304
2010-06-27,1.2043
2010-09-26,1.5626
2010-12-26,4.3899
2011-03-27,4.6514
2011-06-26,-0.3419
2011-10-02,1.9011
2011-12-31,5.2173
2012-04-01,1.0412
2012-07-01,0.7452
2012-09-30,1.3657
2012-12-29,2.3534
2013-03-30,3.3553
2013-06-29,-0.6289
2013-09-28,-6.7033
2013-12-28,-8.2291
2014-03-29,16.8093
2014-06-28,-4.7623
2014-09-27,1.4581
2014-12-27,2.5963
2015-03-28,3.4711
2015-06-27,-9.3991
2015-09-26,3.6136
