Date,strategy_returns,margin,benchmark_returns
2010-03-10,-284.2918000000002,250537.22100000002,998.6416887466893
2010-03-11,-333.6012000000004,250815.60290000003,935.7287287748384
2010-03-12,194.29449999999508,250509.83750000002,19.41329795494883
2010-03-15,326.6265000000068,250674.35489999998,58.23484970295252
2010-03-16,123.2469999999984,252484.3174,1785.4048220528312
2010-03-17,641.3046,254074.0304,1328.4709404188668
2010-03-18,-35.61570000000269,253291.0997,-119.6234654622588
2010-03-19,0.3806000000022163,251791.77109999995,-2044.2598767076195
2010-03-22,344.9094999999961,253194.1011,1203.0590820391512
2010-03-23,-380.89849999999876,255060.18660000002,1571.4855938216094
2010-03-24,-527.6492999999978,253353.5573,-1088.0855053858163
2010-03-25,162.88040000000223,252383.2867,-364.4645646107175
2010-03-26,575.056000000001,252480.33109999995,-130.65241056601377
2010-03-29,447.98210000000086,254610.22050000002,1418.7899964735698
2010-03-30,-175.35770000000164,254771.6069,152.8309068463165
2010-03-31,-105.77109999999826,253825.19759999998,-763.6338156391525
2010-04-01,273.6178999999988,255756.8243,1532.48905907752
2010-04-05,671.1803999999958,256391.582,1826.4979957087126
2010-04-06,551.8334000000053,257296.3701,528.4222547088659
2010-04-07,309.47030000000336,255503.2462,-1280.292648901726
2010-04-08,108.44039999999254,254285.69909999997,781.1101006857052
2010-04-09,-921.0640999999996,256383.79919999998,1467.160942996437
2010-04-12,557.075400000003,256489.0232,356.2027580854557
2010-04-13,-189.30999999999818,256613.89179999998,168.45989009611404
2010-04-14,-620.0931000000037,258495.9819,2543.704196365849
2010-04-15,-108.42399999999658,259481.38019999996,184.93813424383796
2010-04-16,801.3038999999998,255563.1216,-3566.3632042037398
2010-04-19,-376.26500000000794,255532.8887,844.9810338517115
2010-04-20,432.6178000000056,257921.6505,2001.630762310264
2010-04-21,-53.441400000008315,258223.0135,-407.90730870134956
2010-04-22,-1153.845199999992,259116.5565,668.7017152364627
2010-04-23,-332.8876000000073,260280.4343,1467.6935297917346
2010-04-26,492.3999000000007,259275.6302,-850.9678215426744
2010-04-27,973.5251000000117,253314.92289999998,-5300.726217013191
2010-04-28,-1342.0566000000088,253955.6311,1702.5141154716182
2010-04-29,-777.4023999999954,257703.721,2773.8896006458917
2010-04-30,14.105899999996922,254181.32409999997,-3792.389743294628
2010-05-03,-509.93459999999527,256921.9569,2900.322205310966
2010-05-04,203.65929999999673,250906.797,-5270.278898537174
2010-05-05,628.109900000001,249411.88849999997,-1334.9946172826951
2010-05-06,433.4183000000007,242049.4615,-7440.187155656212
2010-05-07,1140.9619000000046,239181.92870000005,-3337.8266266325077
2010-05-10,-1567.3643000000036,248425.7639,9870.75293871499
2010-05-11,320.77969999999476,247287.92849999998,-636.7230820741106
2010-05-12,-477.63059999999797,253057.8319,3134.636711749493
2010-05-13,-95.94159999999823,250611.1434,-2786.076852614137
2010-05-14,-417.7580000000036,246267.28480000002,-4057.812762041416
2010-05-17,256.899,247902.16730000003,118.07526115906397
2010-05-18,-843.6070999999971,245559.25920000003,-3048.6714662539353
2010-05-19,98.91559999999885,243698.8604,-1276.1652662780828
2010-05-20,-226.91999999999896,234199.63200000004,-8462.902067252786
2010-05-21,300.10499999999763,237690.6116,3282.492809204819
2010-05-24,-365.58890000000105,236329.13949999996,-2885.9255599191133
2010-05-25,-282.69900000000086,236740.69630000004,224.7299664667202
2010-05-26,-127.62419999999564,237050.5255,-1347.0291428961418
2010-05-27,624.8647499999921,244687.62420000002,7507.830776853756
2010-05-28,-52.762799999993916,243347.33780000004,-2814.7345262018216
2010-06-01,-529.3063999999998,238109.27000000002,-3768.606088314529
2010-06-02,-694.6762000000036,244874.12879999998,5836.085461659501
2010-06-03,-140.55680000000066,247691.56,771.939449453752
2010-06-04,-48.28260000000543,238426.3542,-7875.098742863724
2010-06-07,145.3442000000005,235623.34960000002,-2790.5661683562707
2010-06-08,-426.94039999999904,239382.47000000003,2400.824467966648
2010-06-09,-86.54609999999656,241006.6383,-1198.20033002581
2010-06-10,320.30229999999847,247516.74,6551.5532971171615
2010-06-11,506.68469999999763,247553.8453,1088.2918753252125
2010-06-14,-16.003399999996944,247685.6691,-349.43139821486614
2010-06-15,505.57029999999946,251367.8776,5098.203558622664
2010-06-16,1026.8897000000024,251224.14049999998,-80.04518746075826
2010-06-17,33.44670000000018,251640.8116,360.3320335853643
2010-06-18,581.4798000000028,252585.0782,-821.4375042788168
2010-06-21,245.85209999999904,251090.2175,-639.9087205643895
2010-06-22,-283.8259000000046,245986.89080000002,-3701.578007340121
2010-06-23,-60.94879999999663,245701.9303,-695.473381971594
2010-06-24,-479.5523999999979,242947.8015,-3713.8973729841605
2010-06-25,599.1222999999941,243029.24290000004,933.686649490929
2010-06-28,306.3974000000037,244153.17330000002,-701.255727169036
2010-06-29,-16.47250000000193,238067.10949999996,-6919.9299045391435
2010-06-30,-548.7855999999986,236698.1199,-2129.2127400555237
2010-07-01,487.7029999999974,236775.57309999998,-998.8200101670134
2010-07-02,-206.98189999999397,236457.11099999998,-1221.3979558042997
2010-07-06,-291.03670000000517,239125.5825,1469.32261914246
2010-07-07,1166.1493,245505.3603,7053.656307297167
2010-07-08,184.7207000000008,248249.53300000002,2223.1526277295816
2010-07-09,539.5666999999993,249569.33039999998,1673.2103388584346
2010-07-12,-911.325499999999,248857.90140000003,145.32101465642668
2010-07-13,130.65100000000103,252893.4744,3381.7109652026525
2010-07-14,-421.3299000000001,252883.3003,-18.394480430491377
2010-07-15,219.00049999999942,253090.5649,59.27596849834237
